,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
51,SITM,VASHIST RAJESH,Chief Executive Officer,"Aug 23, 2021",$201.91,21440,4328950,605074,"Aug 25, 2021, 05:57 PM",sell
52,LITE,Sepe Matthew Joseph,Chief Accounting Officer,"Aug 23, 2021",$86.37,3145,271635,14850,"Aug 25, 2021, 05:56 PM",sell
53,FOLD,Prout Samantha,Principal Accounting Officer,"Aug 23, 2021",$11.00,5045,55495,83170,"Aug 25, 2021, 05:55 PM",sell
54,HALO,BIZZARI JEAN-PIERRE,Director,"Aug 25, 2021",$41.01,35000,1435455,52544,"Aug 25, 2021, 05:54 PM",sell
55,CSL,Roche Robert M.,VP & Chief Financial Officer,"Aug 25, 2021",$210.95,10480,2210716,25487,"Aug 25, 2021, 05:53 PM",sell
56,LITE,LOWE ALAN S,Chief Executive Officer,"Aug 23, 2021",$86.86,9861,856526,130803,"Aug 25, 2021, 05:52 PM",sell
57,IRMD,Susi Roger E.,"President, CEO and Chairman","Aug 24, 2021",$33.59,5000,167974,906050,"Aug 25, 2021, 05:52 PM",sell
58,IRMD,Susi Roger E.,"President, CEO and Chairman","Aug 23, 2021",$33.74,5000,168712,911050,"Aug 25, 2021, 05:52 PM",sell
59,TLS,WOOD EMMETT J.,"EVP, Marketing & Strategy","Aug 24, 2021",$31.29,28682,897460,402680,"Aug 25, 2021, 05:47 PM",sell
60,ZLAB,Reinhart Harald,Chief Medical Officer,"Aug 24, 2021",$143.36,8000,1146880,0,"Aug 25, 2021, 05:47 PM",sell
61,ZLAB,Reinhart Harald,Chief Medical Officer,"Aug 23, 2021",$135.00,8000,1080000,0,"Aug 25, 2021, 05:47 PM",sell
62,BCYC,Kalowski Lee,President and CFO,"Aug 23, 2021",$33.02,7500,247650,0,"Aug 25, 2021, 05:45 PM",sell
63,MCHP,MEYERCORD WADE F,Director,"Aug 24, 2021",$148.83,500,74414,16788,"Aug 25, 2021, 05:45 PM",sell
64,EMKR,JACKSON REX S,Director,"Aug 25, 2021",$7.51,17000,127670,90641,"Aug 25, 2021, 05:44 PM",sell
65,PYPL,Auerbach Jonathan,"EVP,Chief Strategy,Growth & Da","Aug 24, 2021",$278.64,12314,3431208,80922,"Aug 25, 2021, 05:43 PM",sell
66,NXPI,GOLDMAN KENNETH A,Director,"Aug 23, 2021",$210.77,2500,526931,20240,"Aug 25, 2021, 05:40 PM",sell
67,ETWO,Elliott Investment Management L.P.,10% Owner,"Aug 24, 2021",$11.63,193196,2246870,26995617,"Aug 25, 2021, 05:39 PM",sell
68,ETWO,Elliott Investment Management L.P.,10% Owner,"Aug 23, 2021",$11.03,300000,3309000,27188813,"Aug 25, 2021, 05:39 PM",sell
69,ETWO,Elliott Investment Management L.P.,10% Owner,"Aug 25, 2021",$11.98,171746,2057517,26823871,"Aug 25, 2021, 05:39 PM",sell
70,SAFE,ADLER DEAN S,Director,"Aug 25, 2021",$88.38,24000,2121156,170267,"Aug 25, 2021, 05:38 PM",sell
71,SAFE,ADLER DEAN S,Director,"Aug 24, 2021",$87.96,28500,2506817,194267,"Aug 25, 2021, 05:38 PM",sell
72,SAFE,ADLER DEAN S,Director,"Aug 23, 2021",$88.57,12130,1074299,222767,"Aug 25, 2021, 05:38 PM",sell
73,PLBY,Fortress Investment Group LLC,See Remarks,"Aug 25, 2021",$24.51,189482,4644244,2718733,"Aug 25, 2021, 05:37 PM",sell
74,PLBY,Fortress Investment Group LLC,See Remarks,"Aug 24, 2021",$22.83,99220,2264939,2782733,"Aug 25, 2021, 05:37 PM",sell
75,PLBY,Fortress Investment Group LLC,See Remarks,"Aug 23, 2021",$22.56,122623,2766041,2926688,"Aug 25, 2021, 05:37 PM",sell
76,UEIC,ZINSER EDWARD K,Director,"Aug 24, 2021",$50.70,3188,161632,19312,"Aug 25, 2021, 05:36 PM",sell
77,SONM,"B. Riley Financial, Inc.",10% Owner,"Aug 25, 2021",$0.41,1500000,617700,2903765,"Aug 25, 2021, 05:31 PM",sell
78,SONM,"B. Riley Financial, Inc.",10% Owner,"Aug 24, 2021",$0.41,1160078,474124,4403765,"Aug 25, 2021, 05:31 PM",sell
79,SONM,"B. Riley Financial, Inc.",10% Owner,"Aug 23, 2021",$0.40,176482,69993,5563843,"Aug 25, 2021, 05:31 PM",sell
80,BMI,GOMEZ GREGORY M,VP-Flow Instrumentation,"Aug 24, 2021",$105.78,5654,598058,14912,"Aug 25, 2021, 05:28 PM",sell
81,PBPB,Douglas Jeffrey,"SVP, Chief Information Officer","Aug 23, 2021",$6.50,3750,24375,148181,"Aug 25, 2021, 05:27 PM",sell
82,KNX,Fitzsimmons James L,EVP - Operations,"Aug 25, 2021",$50.27,261,13120,0,"Aug 25, 2021, 05:24 PM",sell
83,BYD,SMITH KEITH,President & CEO,"Aug 23, 2021",$57.54,30000,1726269,1226958,"Aug 25, 2021, 05:22 PM",sell
84,CRC,GOLDENTREE ASSET MANAGEMENT LP,10% Owner,"Aug 23, 2021",$30.26,8300,251158,12846949,"Aug 25, 2021, 05:21 PM",sell
85,CRC,GOLDENTREE ASSET MANAGEMENT LP,10% Owner,"Aug 24, 2021",$30.58,276310,8448628,12843221,"Aug 25, 2021, 05:21 PM",sell
86,ALG,ROBINSON RONALD A,Director,"Aug 25, 2021",$150.47,1568,235936,175006,"Aug 25, 2021, 05:19 PM",sell
87,ALG,ROBINSON RONALD A,Director,"Aug 24, 2021",$150.05,115,17256,176489,"Aug 25, 2021, 05:19 PM",sell
88,GSHD,Jones Mark Evan,CEO,"Aug 23, 2021",$136.99,12045,1649995,295406,"Aug 25, 2021, 05:18 PM",sell
89,CLFD,Goepel Patrick,Director,"Aug 24, 2021",$45.08,6103,275123,60424,"Aug 25, 2021, 05:16 PM",sell
90,TECH,Nusse Roeland,Director,"Aug 23, 2021",$481.52,4000,1926065,6765,"Aug 25, 2021, 05:13 PM",sell
91,PLAN,Pinczuk Ana G.,Chief Development Officer,"Aug 23, 2021",$60.13,11554,694733,26461,"Aug 25, 2021, 05:12 PM",sell
92,DDOG,Le-Quoc Alexis,President & CTO,"Aug 23, 2021",$131.26,257520,33801728,167609,"Aug 25, 2021, 05:10 PM",sell
93,MGM,SANDERS COREY IAN,CHIEF OPERATING OFFICER,"Aug 24, 2021",$40.00,10000,400000,359286,"Aug 25, 2021, 05:08 PM",sell
94,MGM,SANDERS COREY IAN,CHIEF OPERATING OFFICER,"Aug 25, 2021",$42.00,20000,840000,339286,"Aug 25, 2021, 05:08 PM",sell
95,GBL,"Associated Capital Group, Inc.",10% Owner,"Aug 24, 2021",$27.90,2000,55795,1682201,"Aug 25, 2021, 05:07 PM",sell
96,CRCT,Blackwell Len,Director,"Aug 23, 2021",$26.91,10000,269111,355000,"Aug 25, 2021, 05:05 PM",sell
97,IT,Dawkins Alwyn,"EVP, Global Business Sales","Aug 23, 2021",$304.71,1700,518007,34369,"Aug 25, 2021, 05:05 PM",sell
98,CRCT,Blackwell Len,Director,"Aug 24, 2021",$28.72,10000,287224,345000,"Aug 25, 2021, 05:05 PM",sell
99,ARE,Ryan Daniel J,Co-Chief Investment Officer,"Aug 23, 2021",$206.90,10000,2068966,122405,"Aug 25, 2021, 05:05 PM",sell
100,SQ,Ahuja Amrita,Chief Financial Officer,"Aug 23, 2021",$270.75,4994,1352143,147538,"Aug 25, 2021, 05:02 PM",sell
1,TRMB,Bisio Ronald,Sr. Vice President,"Aug 23, 2021",$92.28,3500,322987,36295,"Aug 25, 2021, 05:00 PM",sell
2,VIR,Virgin Herbert,"EVP, Research & CSO","Aug 24, 2021",$48.00,1375,66000,99700,"Aug 25, 2021, 05:00 PM",sell
3,DXCM,Pacelli Steven Robert,"Managing Dir., Dexcom Ventures","Aug 23, 2021",$516.40,1078,556678,49907,"Aug 25, 2021, 04:59 PM",sell
4,VEEV,Wallach Matthew J,Director,"Aug 23, 2021",$322.25,5000,1611267,2872,"Aug 25, 2021, 04:50 PM",sell
5,SNPS,Kankanwadi Sudhindra,"Senior VP, Finance & CAO","Aug 24, 2021",$322.87,3000,968610,11165,"Aug 25, 2021, 04:46 PM",sell
6,SNPS,Kankanwadi Sudhindra,"Senior VP, Finance & CAO","Aug 23, 2021",$320.58,3325,1065912,11165,"Aug 25, 2021, 04:46 PM",sell
7,BJ,Werner William C.,"EVP, Strategy & Development","Aug 23, 2021",$55.30,36132,1998131,58316,"Aug 25, 2021, 04:46 PM",sell
8,MSP,ABBOT JOHN,Chief Financial Officer,"Aug 23, 2021",$26.22,9000,235980,0,"Aug 25, 2021, 04:45 PM",sell
9,JCOM,ROSSEN JEREMY,VP/General Counsel,"Aug 24, 2021",$133.00,2717,361351,7784,"Aug 25, 2021, 04:45 PM",sell
10,BJ,Poulliot Brian,"EVP, Enterprise Analytics","Aug 23, 2021",$56.00,101,5656,115977,"Aug 25, 2021, 04:45 PM",sell
11,BJ,Poulliot Brian,"EVP, Enterprise Analytics","Aug 24, 2021",$55.24,4899,270621,115977,"Aug 25, 2021, 04:45 PM",sell
12,SWCH,Borden Teresa A.,Chief Construction Officer,"Aug 23, 2021",$24.02,62471,1500591,525384,"Aug 25, 2021, 04:45 PM",sell
13,FTNT,Jensen Keith,CFO & Chief Accounting Officer,"Aug 24, 2021",$301.31,7992,2408097,6769,"Aug 25, 2021, 04:45 PM",sell
14,ACLS,Bintz William J,"EVP, Product Development","Aug 25, 2021",$49.09,15061,739344,59836,"Aug 25, 2021, 04:44 PM",sell
15,FTNT,Xie Michael,"VP, Engineering & CTO","Aug 24, 2021",$301.27,40000,12050946,5978451,"Aug 25, 2021, 04:43 PM",sell
16,FTNT,Xie Michael,"VP, Engineering & CTO","Aug 24, 2021",$301.26,40000,12050535,3441469,"Aug 25, 2021, 04:43 PM",sell
17,BBY,Bilunas Matthew M,Chief Financial Officer,"Aug 23, 2021",$113.16,819,92677,38886,"Aug 25, 2021, 04:42 PM",sell
18,TECH,BAUMGARTNER ROBERT V,Director,"Aug 23, 2021",$485.55,4000,1942183,13313,"Aug 25, 2021, 04:42 PM",sell
19,CERT,Choe Jieun W.,CHIEF STRATEGY & MARKETING,"Aug 24, 2021",$30.00,7500,225000,322991,"Aug 25, 2021, 04:41 PM",sell
20,PEBK,ABERNETHY CHRISTINE S,10% Owner,"Aug 24, 2021",$28.74,35000,1005900,573027,"Aug 25, 2021, 04:41 PM",sell
21,ILMN,Dadswell Charles,SVP & General Counsel,"Aug 23, 2021",$489.10,314,153577,5286,"Aug 25, 2021, 04:40 PM",sell
22,OPNT,Sinclair Michael,Director,"Aug 25, 2021",$14.69,50269,738452,144070,"Aug 25, 2021, 04:38 PM",sell
23,OPNT,Sinclair Michael,Director,"Aug 24, 2021",$15.71,34607,543676,144070,"Aug 25, 2021, 04:38 PM",sell
24,OPNT,Sinclair Michael,Director,"Aug 23, 2021",$16.50,65124,1074546,144070,"Aug 25, 2021, 04:38 PM",sell
25,ZI,Mironov Jason,Director,"Aug 23, 2021",$62.59,523587,32771468,0,"Aug 25, 2021, 04:38 PM",sell
26,ABMD,MINOGUE MICHAEL R,"Chairman, President, CEO","Aug 23, 2021",$350.00,3492,1222200,211635,"Aug 25, 2021, 04:37 PM",sell
27,ZI,Crockett Todd,Director,"Aug 23, 2021",$62.59,523587,32771468,0,"Aug 25, 2021, 04:37 PM",sell
28,ZI,TA Atlantic & Pacific VII-B L.P.,Director,"Aug 23, 2021",$62.59,523587,32771468,0,"Aug 25, 2021, 04:36 PM",sell
29,ZI,"TA ASSOCIATES, L.P.",Director,"Aug 23, 2021",$62.59,523587,32771468,0,"Aug 25, 2021, 04:36 PM",sell
30,DIOD,LU KEH SHEW,President & CEO,"Aug 23, 2021",$91.50,9000,823500,354038,"Aug 25, 2021, 04:35 PM",sell
31,DIOD,LU KEH SHEW,President & CEO,"Aug 24, 2021",$93.25,9000,839250,400671,"Aug 25, 2021, 04:35 PM",sell
32,DIOD,LU KEH SHEW,President & CEO,"Aug 23, 2021",$92.00,12000,1104000,412671,"Aug 25, 2021, 04:35 PM",sell
33,DIOD,LU KEH SHEW,President & CEO,"Aug 24, 2021",$92.51,400,37006,347838,"Aug 25, 2021, 04:35 PM",sell
34,TPR,Dadlani Manesh,"VP, Controller and PAO","Aug 23, 2021",$42.36,1211,51304,26049,"Aug 25, 2021, 04:34 PM",sell
35,DIOD,Zhao Jin,"VP, Worldwide Analog Products","Aug 24, 2021",$92.30,1230,113529,12789,"Aug 25, 2021, 04:33 PM",sell
36,NOVT,Buckley Robert,Chief Financial Officer,"Aug 24, 2021",$146.18,8525,1246147,145592,"Aug 25, 2021, 04:32 PM",sell
37,NOVT,Buckley Robert,Chief Financial Officer,"Aug 23, 2021",$147.36,8363,1232361,153390,"Aug 25, 2021, 04:32 PM",sell
38,NDAQ,Ottersgard Lars,Executive Vice President,"Aug 24, 2021",$191.42,4000,765680,13783,"Aug 25, 2021, 04:31 PM",sell
39,PLCE,ELFERS JANE T,President and CEO,"Aug 24, 2021",$102.35,20912,2140343,287185,"Aug 25, 2021, 04:31 PM",sell
40,PLCE,ELFERS JANE T,President and CEO,"Aug 23, 2021",$99.46,34225,3404018,308097,"Aug 25, 2021, 04:31 PM",sell
41,DIOD,Yu Evan,"SVP, WW Power Products","Aug 23, 2021",$92.50,2778,256965,27062,"Aug 25, 2021, 04:31 PM",sell
42,TWST,Banyai William,See Remarks,"Aug 23, 2021",$105.51,20054,2115982,337018,"Aug 25, 2021, 04:30 PM",sell
43,PRAX,BSOF Parallel Master Fund L.P.,10% Owner,"Aug 23, 2021",$19.00,352396,6696326,447317,"Aug 25, 2021, 04:30 PM",sell
44,VERX,Stamm John Richard,Director,"Aug 19, 2021",$19.17,8678,166392,43028,"Aug 25, 2021, 04:30 PM",sell
45,WMS,MAKOWSKI TIM A,See Remarks,"Aug 23, 2021",$116.24,2000,232489,7353,"Aug 25, 2021, 04:30 PM",sell
46,WMS,HARVEY DARIN S.,"EVP, Supply Chain & Logistics","Aug 24, 2021",$117.20,2200,257844,10859,"Aug 25, 2021, 04:30 PM",sell
47,DIOD,Yang Emily,SVP Worldwide Sales/Marketing,"Aug 23, 2021",$92.30,2126,196236,38890,"Aug 25, 2021, 04:29 PM",sell
48,ORI,GRAY WILLIAM T,Senior VP & Treasurer,"Aug 24, 2021",$26.42,16625,439301,22155,"Aug 25, 2021, 04:28 PM",sell
49,DIOD,Tang Francis,"SVP, WW Discrete Products","Aug 24, 2021",$93.42,6000,560550,42080,"Aug 25, 2021, 04:28 PM",sell
50,DIOD,Tang Francis,"SVP, WW Discrete Products","Aug 23, 2021",$91.94,5146,473109,50956,"Aug 25, 2021, 04:28 PM",sell
51,UNH,HEMSLEY STEPHEN J,Director,"Aug 23, 2021",$426.30,70000,29841153,621560,"Aug 25, 2021, 04:28 PM",sell
52,HBIO,Green James W,Chief Executive Officer,"Aug 23, 2021",$8.02,48175,386364,2091725,"Aug 25, 2021, 04:24 PM",sell
53,CB,GREENBERG EVAN G,Chairman & CEO,"Aug 23, 2021",$186.22,70109,13055861,733483,"Aug 25, 2021, 04:22 PM",sell
54,CB,GREENBERG EVAN G,Chairman & CEO,"Aug 24, 2021",$185.91,45433,8446449,733282,"Aug 25, 2021, 04:22 PM",sell
55,QTWO,Offerdahl James,Director,"Aug 23, 2021",$81.95,500,40975,10053,"Aug 25, 2021, 04:20 PM",sell
56,MRNA,Hoge Stephen,President,"Aug 24, 2021",$403.98,5000,2019900,1609597,"Aug 25, 2021, 04:20 PM",sell
57,MRNA,Hoge Stephen,President,"Aug 23, 2021",$398.85,15000,5982763,1624297,"Aug 25, 2021, 04:20 PM",sell
58,AMT,SHARBUTT DAVID E,Director,"Aug 23, 2021",$290.00,2400,696000,1644,"Aug 25, 2021, 04:19 PM",sell
59,SPSC,Nelson Kimberly K.,EVP & CFO,"Aug 23, 2021",$126.23,38416,4849364,143742,"Aug 25, 2021, 04:17 PM",sell
60,WNEB,Libiszewski Darlene M,"SVP, Chief Information Officer","Aug 24, 2021",$8.75,2722,23818,9670,"Aug 25, 2021, 04:17 PM",sell
61,MEDP,"Medpace Investors, LLC",10% Owner,"Aug 24, 2021",$180.06,1814,326629,6047183,"Aug 25, 2021, 04:16 PM",sell
62,MEDP,"Medpace Investors, LLC",10% Owner,"Aug 23, 2021",$180.22,1482,267086,6048997,"Aug 25, 2021, 04:16 PM",sell
63,MEDP,Troendle August J.,CEO,"Aug 24, 2021",$180.06,1814,326629,6047183,"Aug 25, 2021, 04:16 PM",sell
64,MEDP,Troendle August J.,CEO,"Aug 23, 2021",$180.22,1482,267086,6048997,"Aug 25, 2021, 04:16 PM",sell
65,TEL,MERKT STEVEN T,"President, Transportation Sol.","Aug 24, 2021",$151.09,52280,7898985,40122,"Aug 25, 2021, 04:15 PM",sell
66,HAE,Burke William P. Mr.,"EVP, Chief Financial Officer","Aug 23, 2021",$60.51,22667,1371580,30291,"Aug 25, 2021, 04:15 PM",sell
67,PAYC,Evans Jon,Chief Operating Officer,"Aug 23, 2021",$475.88,2200,1046927,16916,"Aug 25, 2021, 04:15 PM",sell
68,NTLA,LEONARD JOHN M,President and CEO,"Aug 23, 2021",$152.01,27139,4125416,727570,"Aug 25, 2021, 04:14 PM",sell
69,CSTL,MAETZOLD DEREK J,Pres. & Chief Exec. Officer,"Aug 23, 2021",$70.57,2500,176432,146461,"Aug 25, 2021, 04:13 PM",sell
70,CSTL,MAETZOLD DEREK J,Pres. & Chief Exec. Officer,"Aug 23, 2021",$70.57,2500,176432,156699,"Aug 25, 2021, 04:13 PM",sell
71,CSTL,MAETZOLD DEREK J,Pres. & Chief Exec. Officer,"Aug 23, 2021",$70.57,2500,176432,169300,"Aug 25, 2021, 04:13 PM",sell
72,RPD,Kalowski Jeffrey,Chief Financial Officer,"Aug 23, 2021",$112.69,40100,4518760,214112,"Aug 25, 2021, 04:13 PM",sell
73,GDRX,Slutsky Andrew,"President, Consumer","Aug 23, 2021",$33.33,20000,666622,3093035,"Aug 25, 2021, 04:10 PM",sell
74,ESCA,Williams Edward E,Director,"Aug 24, 2021",$23.11,125000,2888800,289487,"Aug 25, 2021, 04:09 PM",sell
75,KEYS,Estrada Ingrid A,SVP,"Aug 23, 2021",$169.49,2000,338980,86626,"Aug 25, 2021, 04:09 PM",sell
76,AMD,Norrod Forrest Eugene,SVP & GM DESG,"Aug 23, 2021",$106.68,38875,4147122,341239,"Aug 25, 2021, 04:08 PM",sell
77,PCTY,Sarowitz Steven I,Director,"Aug 23, 2021",$256.40,22704,5821372,12214932,"Aug 25, 2021, 04:06 PM",sell
78,GBIO,Stanton Matthew,CHIEF SCIENTIFIC OFFICER,"Aug 23, 2021",$25.04,1500,37560,198154,"Aug 25, 2021, 04:05 PM",sell
79,SMLR,Murphy-Chutorian Douglas,Chief Executive Officer,"Aug 23, 2021",$107.30,1250,134127,35422,"Aug 25, 2021, 04:04 PM",sell
80,IBKR,Frank Thomas AJ,Chief Information Officer,"Aug 24, 2021",$62.80,18573,1166384,2045964,"Aug 25, 2021, 04:02 PM",sell
81,IBKR,Frank Thomas AJ,Chief Information Officer,"Aug 23, 2021",$62.38,18573,1158584,2064537,"Aug 25, 2021, 04:02 PM",sell
82,CERN,Devers Daniel,EVP & Chief Legal Officer,"Aug 24, 2021",$77.45,9000,697050,2723,"Aug 25, 2021, 04:02 PM",sell
83,IBKR,Peterffy Thomas,Chairman,"Aug 24, 2021",$62.77,20000,1255400,6267511,"Aug 25, 2021, 04:02 PM",sell
84,IBKR,Peterffy Thomas,Chairman,"Aug 23, 2021",$62.39,20000,1247800,6287511,"Aug 25, 2021, 04:02 PM",sell
85,ARW,Melvin Vincent P,Chief Information Officer,"Aug 24, 2021",$119.34,9672,1154295,21612,"Aug 25, 2021, 04:00 PM",sell
86,JBSS,Taaffe Ellen,Director,"Aug 24, 2021",$87.67,1717,150536,10078,"Aug 25, 2021, 03:41 PM",sell
87,CHH,Dragisich Dominic,Chief Financial Officer,"Aug 24, 2021",$117.50,2926,343805,25976,"Aug 25, 2021, 03:32 PM",sell
88,SHW,GARCEAU MARY L,"SVP, Gen. Counsel & Secretary","Aug 23, 2021",$306.33,2589,793088,8670,"Aug 25, 2021, 03:29 PM",sell
89,ACNB,Sites David L,Director,"Aug 23, 2021",$29.00,500,14500,33342,"Aug 25, 2021, 03:04 PM",sell
90,ACNB,Newell Donna M,Director,"Aug 23, 2021",$28.17,253,7128,53,"Aug 25, 2021, 03:00 PM",sell
91,ACNB,Newell Donna M,Director,"Aug 23, 2021",$28.31,340,9624,7663,"Aug 25, 2021, 03:00 PM",sell
92,BOH,Sellers Mary E,Vice Chair & CRO,"Aug 23, 2021",$85.44,5000,427200,95972,"Aug 25, 2021, 02:55 PM",sell
93,VICR,VINCIARELLI PATRIZIO,Chairman and CEO,"Aug 24, 2021",$123.50,20000,2470000,9716741,"Aug 25, 2021, 02:18 PM",sell
94,CACI,Johnson Gregory G,Director,"Aug 23, 2021",$260.00,300,78000,5512,"Aug 25, 2021, 02:07 PM",sell
95,EPAY,EBERLE ROBERT A,President & CEO,"Aug 23, 2021",$41.40,1397,57832,479589,"Aug 25, 2021, 01:48 PM",sell
96,EPAY,EBERLE ROBERT A,President & CEO,"Aug 25, 2021",$41.89,4000,167560,471589,"Aug 25, 2021, 01:48 PM",sell
97,EPAY,EBERLE ROBERT A,President & CEO,"Aug 24, 2021",$41.50,4000,166000,475589,"Aug 25, 2021, 01:48 PM",sell
98,EPAY,Kelly John Francis,"GM, Legal Solutions","Aug 23, 2021",$41.40,959,39700,50415,"Aug 25, 2021, 01:35 PM",sell
99,EPAY,SAVORY NIGEL K,Managing Director Europe,"Aug 23, 2021",$41.40,1479,61226,161544,"Aug 25, 2021, 01:28 PM",sell
100,RBA,JETER JAMES J,"President, Sales U.S.","Aug 24, 2021",$62.07,3400,211038,18773,"Aug 25, 2021, 01:26 PM",sell
