,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type,currentprice,movingaverage
61,DCOM,"BASSWOOD CAPITAL MANAGEMENT, L.L.C.",10% Owner,"Aug 23, 2021",$33.10,100000,3310000,2802254,"Aug 25, 2021, 08:08 PM",sell,33.43000030517578,30.826499907175698
62,DCOM,"BASSWOOD CAPITAL MANAGEMENT, L.L.C.",10% Owner,"Aug 25, 2021",$33.65,12682,426749,177858,"Aug 25, 2021, 08:08 PM",sell,33.43000030517578,30.826499907175698
63,DCOM,"BASSWOOD CAPITAL MANAGEMENT, L.L.C.",10% Owner,"Aug 24, 2021",$33.25,14132,469889,2796054,"Aug 25, 2021, 08:08 PM",sell,33.43000030517578,30.826499907175698
64,PINS,Yang Tseli Lily,Chief Accounting Officer,"Aug 23, 2021",$54.43,2823,153649,59258,"Aug 25, 2021, 08:07 PM",sell,56.16999816894531,70.4797778447469
65,BLFS,Mathew Aby J.,Exec VP & Chief Scientific Off,"Aug 25, 2021",$53.12,10000,531200,209589,"Aug 25, 2021, 08:05 PM",sell,55.61000061035156,39.808777787950305
66,BLFS,Mathew Aby J.,Exec VP & Chief Scientific Off,"Aug 23, 2021",$46.54,10000,465400,209589,"Aug 25, 2021, 08:05 PM",sell,55.61000061035156,39.808777787950305
67,ITOS,Detheux Michel,Chief Executive Officer,"Aug 25, 2021",$28.00,861,24109,140352,"Aug 25, 2021, 08:04 PM",sell,27.190000534057617,29.02727786170112
68,ITOS,Detheux Michel,Chief Executive Officer,"Aug 24, 2021",$28.26,225,6359,141213,"Aug 25, 2021, 08:04 PM",sell,27.190000534057617,29.02727786170112
69,ITOS,Detheux Michel,Chief Executive Officer,"Aug 23, 2021",$28.06,7499,210422,141438,"Aug 25, 2021, 08:04 PM",sell,27.190000534057617,29.02727786170112
70,BLFS,Foster Karen A.,Chief Quality Officer,"Aug 23, 2021",$46.54,16332,760091,72777,"Aug 25, 2021, 08:03 PM",sell,55.61000061035156,39.808777787950305
71,NETE,Wolberg Steven,Chief Legal Officer,"Aug 25, 2021",$11.03,4000,44137,101684,"Aug 25, 2021, 07:54 PM",sell,11.140000343322754,11.78966662618849
72,NETE,Wolberg Steven,Chief Legal Officer,"Aug 24, 2021",$11.20,41919,469409,105684,"Aug 25, 2021, 07:54 PM",sell,11.140000343322754,11.78966662618849
73,MGM,HERMAN ALEXIS,Director,"Aug 25, 2021",$41.94,2500,104862,14644,"Aug 25, 2021, 07:50 PM",sell,42.130001068115234,37.760555511050754
74,GTYH,Ross Craig,CRO OF GTY AND CEO OF QUESTICA,"Aug 25, 2021",$7.26,21454,155777,261000,"Aug 25, 2021, 07:47 PM",sell,7.25,6.469500010543399
75,GTYH,Ross Craig,CRO OF GTY AND CEO OF QUESTICA,"Aug 25, 2021",$7.30,6839,49925,282454,"Aug 25, 2021, 07:47 PM",sell,7.25,6.469500010543399
76,GTYH,Ross Craig,CRO OF GTY AND CEO OF QUESTICA,"Aug 24, 2021",$7.30,3527,25747,289293,"Aug 25, 2021, 07:47 PM",sell,7.25,6.469500010543399
77,CGEM,UBS Oncology Impact Fund L.P.,10% Owner,"Aug 25, 2021",$29.09,1713,49831,7805483,"Aug 25, 2021, 07:42 PM",sell,26.729999542236328,33.30283019827597
78,CGEM,UBS Oncology Impact Fund L.P.,10% Owner,"Aug 24, 2021",$29.48,50822,1498233,7807196,"Aug 25, 2021, 07:42 PM",sell,26.729999542236328,33.30283019827597
79,CGEM,UBS Oncology Impact Fund L.P.,10% Owner,"Aug 23, 2021",$29.11,53359,1553281,7858018,"Aug 25, 2021, 07:42 PM",sell,26.729999542236328,33.30283019827597
80,CGEM,GADICKE ANSBERT,Director,"Aug 23, 2021",$29.11,53359,1553281,7858018,"Aug 25, 2021, 07:41 PM",sell,26.729999542236328,33.30283019827597
81,CGEM,GADICKE ANSBERT,Director,"Aug 25, 2021",$29.09,237,6894,266283,"Aug 25, 2021, 07:41 PM",sell,26.729999542236328,33.30283019827597
82,CGEM,GADICKE ANSBERT,Director,"Aug 23, 2021",$29.11,7376,214715,273545,"Aug 25, 2021, 07:41 PM",sell,26.729999542236328,33.30283019827597
83,CGEM,GADICKE ANSBERT,Director,"Aug 24, 2021",$29.48,50882,1500001,7807196,"Aug 25, 2021, 07:41 PM",sell,26.729999542236328,33.30283019827597
84,CGEM,GADICKE ANSBERT,Director,"Aug 24, 2021",$29.48,7025,207097,266520,"Aug 25, 2021, 07:41 PM",sell,26.729999542236328,33.30283019827597
85,CGEM,GADICKE ANSBERT,Director,"Aug 25, 2021",$29.09,1713,49831,7805483,"Aug 25, 2021, 07:41 PM",sell,26.729999542236328,33.30283019827597
86,MRAM,Aggarwal Sanjeev,"CTO & VP, Technology R&D","Aug 24, 2021",$5.85,200,1170,45927,"Aug 25, 2021, 07:38 PM",sell,5.739999771118164,5.692999972237481
87,DVAX,Novack David F,President & COO,"Aug 24, 2021",$14.00,10000,140000,104066,"Aug 25, 2021, 07:35 PM",sell,16.239999771118164,8.74866664144728
88,COUR,Wong Chun Yu,See Remarks,"Aug 23, 2021",$36.01,57000,2052578,594372,"Aug 25, 2021, 07:34 PM",sell,37.790000915527344,41.2842719068805
89,KNBE,Venkataraman Shrikrishna,Co-President & CFO,"Aug 23, 2021",$22.19,18287,405752,296424,"Aug 25, 2021, 07:33 PM",sell,22.469999313354492,23.879431789571587
90,KNBE,Venkataraman Shrikrishna,Co-President & CFO,"Aug 25, 2021",$22.79,52699,1201216,221765,"Aug 25, 2021, 07:33 PM",sell,22.469999313354492,23.879431789571587
91,KNBE,Venkataraman Shrikrishna,Co-President & CFO,"Aug 24, 2021",$22.53,21960,494695,275413,"Aug 25, 2021, 07:33 PM",sell,22.469999313354492,23.879431789571587
92,KNBE,Sjouwerman Sjoerd,Chief Executive Officer,"Aug 24, 2021",$22.56,11793,266064,100,"Aug 25, 2021, 07:32 PM",sell,22.469999313354492,23.879431789571587
93,KNBE,Sjouwerman Sjoerd,Chief Executive Officer,"Aug 23, 2021",$22.19,18207,404090,0,"Aug 25, 2021, 07:32 PM",sell,22.469999313354492,23.879431789571587
94,CSCO,Robbins Charles,Chair and CEO,"Aug 25, 2021",$59.69,6543,390572,587380,"Aug 25, 2021, 07:32 PM",sell,59.349998474121094,50.497611067030164
95,DVAX,Burgess Justin,Principal Accounting Officer,"Aug 24, 2021",$15.00,5768,86520,3721,"Aug 25, 2021, 07:32 PM",sell,16.239999771118164,8.74866664144728
96,KNBE,Letonoff Lars,See remarks,"Aug 24, 2021",$22.53,21823,491618,3427,"Aug 25, 2021, 07:31 PM",sell,22.469999313354492,23.879431789571587
97,KNBE,Letonoff Lars,See remarks,"Aug 23, 2021",$22.18,18267,405213,0,"Aug 25, 2021, 07:31 PM",sell,22.469999313354492,23.879431789571587
98,KNBE,Letonoff Lars,See remarks,"Aug 25, 2021",$22.77,22183,505074,0,"Aug 25, 2021, 07:31 PM",sell,22.469999313354492,23.879431789571587
99,CSCO,Martinez Maria,EVP & Chief Operating Officer,"Aug 24, 2021",$59.01,44000,2596541,204881,"Aug 25, 2021, 07:31 PM",sell,59.349998474121094,50.497611067030164
100,CSCO,Martinez Maria,EVP & Chief Operating Officer,"Aug 23, 2021",$58.52,4000,234063,248881,"Aug 25, 2021, 07:31 PM",sell,59.349998474121094,50.497611067030164
1,ONTF,FEDERMAN IRWIN,Director,"Aug 24, 2021",$22.13,15625,345781,29880,"Aug 25, 2021, 07:30 PM",sell,23.299999237060547,42.561830856430696
2,ONTF,FEDERMAN IRWIN,Director,"Aug 24, 2021",$22.13,312,6905,0,"Aug 25, 2021, 07:30 PM",sell,23.299999237060547,42.561830856430696
3,ONTF,FEDERMAN IRWIN,Director,"Aug 24, 2021",$22.13,15625,345781,29880,"Aug 25, 2021, 07:30 PM",sell,23.299999237060547,42.561830856430696
4,CSCO,Elliott Geraldine,EVP & Chief Cust & Prtnr Offcr,"Aug 25, 2021",$59.40,50000,2969805,266791,"Aug 25, 2021, 07:29 PM",sell,59.349998474121094,50.497611067030164
5,CSCO,BHATT PRAT,SVP & Chief Acctg Officer,"Aug 23, 2021",$58.40,3518,205454,94436,"Aug 25, 2021, 07:27 PM",sell,59.349998474121094,50.497611067030164
6,TWTR,Montano Michael,Engineering Lead,"Aug 23, 2021",$63.21,4500,284445,587337,"Aug 25, 2021, 07:13 PM",sell,64.16999816894531,61.76144417656793
7,ROKU,Rosenberg Scott A.,"GM, Sr. VP Platform Business","Aug 23, 2021",$354.72,7500,2660400,15121,"Aug 25, 2021, 07:06 PM",sell,353.4700012207031,376.1276121351454
8,CRM,Benioff Marc,Chair of the Board & CEO,"Aug 24, 2021",$260.77,20000,5215309,29001448,"Aug 25, 2021, 07:05 PM",sell,260.8500061035156,230.7782216389974
9,SCHW,Schwab Charles R.,Chairman,"Aug 25, 2021",$74.49,70000,5213999,84167222,"Aug 25, 2021, 07:04 PM",sell,74.58000183105469,65.493611102634
10,GSHD,Colby Michael C.,President and COO,"Aug 24, 2021",$136.24,34727,4731035,105918,"Aug 25, 2021, 07:00 PM",sell,130.6699981689453,120.4063892364502
11,GSHD,Colby Michael C.,President and COO,"Aug 23, 2021",$133.40,5832,778004,84863,"Aug 25, 2021, 07:00 PM",sell,130.6699981689453,120.4063892364502
12,GSHD,Colby Michael C.,President and COO,"Aug 25, 2021",$131.27,5047,662512,89036,"Aug 25, 2021, 07:00 PM",sell,130.6699981689453,120.4063892364502
13,CRM,Harris Parker,Co-Founder and CTO,"Aug 24, 2021",$260.76,4300,1121283,86046,"Aug 25, 2021, 06:59 PM",sell,260.8500061035156,230.7782216389974
14,FIVN,ZWARENSTEIN BARRY,Chief Financial Officer,"Aug 23, 2021",$182.14,1044,190154,99369,"Aug 25, 2021, 06:51 PM",sell,181.24000549316406,175.6051109313965
15,MASS,Basarsky Trent A.,"VP, Corporate Development","Aug 24, 2021",$34.95,10078,352226,35000,"Aug 25, 2021, 06:47 PM",sell,33.790000915527344,47.33319788200911
16,MASS,Basarsky Trent A.,"VP, Corporate Development","Aug 23, 2021",$34.11,25319,863640,50435,"Aug 25, 2021, 06:47 PM",sell,33.790000915527344,47.33319788200911
17,MASS,Basarsky Trent A.,"VP, Corporate Development","Aug 25, 2021",$34.95,1600,55920,35000,"Aug 25, 2021, 06:47 PM",sell,33.790000915527344,47.33319788200911
18,WMT,WALTON JIM C,10% Owner,"Aug 24, 2021",$149.28,377976,56425558,319066027,"Aug 25, 2021, 06:47 PM",sell,148.9600067138672,141.01288905673556
19,WMT,WALTON JIM C,10% Owner,"Aug 23, 2021",$150.93,254700,38442841,319420668,"Aug 25, 2021, 06:47 PM",sell,148.9600067138672,141.01288905673556
20,WMT,WALTON JIM C,10% Owner,"Aug 25, 2021",$148.90,840503,125146744,318423997,"Aug 25, 2021, 06:47 PM",sell,148.9600067138672,141.01288905673556
21,SITM,Pangrazio Vincent P,See Remarks,"Aug 24, 2021",$203.30,135,27446,86884,"Aug 25, 2021, 06:45 PM",sell,195.5800018310547,118.83888910081652
22,SITM,Pangrazio Vincent P,See Remarks,"Aug 23, 2021",$203.08,3030,615332,87019,"Aug 25, 2021, 06:45 PM",sell,195.5800018310547,118.83888910081652
23,WMT,WALTON ALICE L,10% Owner,"Aug 25, 2021",$148.90,840503,125146744,318423997,"Aug 25, 2021, 06:44 PM",sell,148.9600067138672,141.01288905673556
24,WMT,WALTON ALICE L,10% Owner,"Aug 24, 2021",$149.28,377976,56425558,319066027,"Aug 25, 2021, 06:44 PM",sell,148.9600067138672,141.01288905673556
25,WMT,WALTON ALICE L,10% Owner,"Aug 23, 2021",$150.93,254700,38442841,319420668,"Aug 25, 2021, 06:44 PM",sell,148.9600067138672,141.01288905673556
26,MXIM,Imperato Jon,SVP of Sales and Marketing,"Aug 25, 2021",$104.83,2777,291114,60769,"Aug 25, 2021, 06:42 PM",sell,103.13999938964844,95.17311117384169
27,WMT,WALTON S ROBSON,Director,"Aug 25, 2021",$148.90,840503,125146744,318423997,"Aug 25, 2021, 06:42 PM",sell,148.9600067138672,141.01288905673556
28,WMT,WALTON S ROBSON,Director,"Aug 24, 2021",$149.28,377976,56425558,319066027,"Aug 25, 2021, 06:42 PM",sell,148.9600067138672,141.01288905673556
29,WMT,WALTON S ROBSON,Director,"Aug 23, 2021",$150.93,254700,38442841,319420668,"Aug 25, 2021, 06:42 PM",sell,148.9600067138672,141.01288905673556
30,EOLS,Malik Vikram,Director,"Aug 23, 2021",$11.00,26077,286722,1143701,"Aug 25, 2021, 06:37 PM",sell,11.050000190734863,9.792583349015977
31,MBII,Marrone Pamela G,Director,"Aug 24, 2021",$1.02,24510,25000,2208363,"Aug 25, 2021, 06:37 PM",sell,1.0499999523162842,1.705833329094781
32,COIN,Jones Jennifer N.,Chief Accounting Officer,"Aug 23, 2021",$263.00,1029,270627,19009,"Aug 25, 2021, 06:31 PM",sell,256.7699890136719,253.60755384729265
33,SITM,Bonnot Lionel,See Remarks,"Aug 23, 2021",$203.08,3985,809274,99857,"Aug 25, 2021, 06:30 PM",sell,195.5800018310547,118.83888910081652
34,SITM,Bonnot Lionel,See Remarks,"Aug 24, 2021",$199.32,4042,805634,99680,"Aug 25, 2021, 06:30 PM",sell,195.5800018310547,118.83888910081652
35,ASAN,Wan Tim M,Chief Financial Officer,"Aug 23, 2021",$75.02,20000,1500316,493852,"Aug 25, 2021, 06:28 PM",sell,76.62999725341797,43.48272228240967
36,DNLI,Ho Carole,Chief Medical Officer,"Aug 23, 2021",$48.91,6143,300454,158630,"Aug 25, 2021, 06:26 PM",sell,52.209999084472656,65.01616672939724
37,SITM,Sevalia Piyush B,EVP Marketing,"Aug 24, 2021",$204.49,179,36604,100551,"Aug 25, 2021, 06:21 PM",sell,195.5800018310547,118.83888910081652
38,SITM,Sevalia Piyush B,EVP Marketing,"Aug 23, 2021",$203.07,4004,813092,100730,"Aug 25, 2021, 06:21 PM",sell,195.5800018310547,118.83888910081652
39,PCVX,PICKERING GRANT,Chief Executive Officer,"Aug 23, 2021",$22.73,13669,310722,580323,"Aug 25, 2021, 06:11 PM",sell,24.149999618530273,23.52077773412069
40,ABBV,Strom Carrie C,SVP & Pres Global Allerg Aesth,"Aug 23, 2021",$120.00,5057,606840,51047,"Aug 25, 2021, 06:08 PM",sell,120.4000015258789,110.90850007798937
41,OSH,PRICE GEOFFREY M,Chief Operating Officer,"Aug 24, 2021",$47.61,50000,2380400,2604070,"Aug 25, 2021, 06:08 PM",sell,46.95000076293945,57.57344430287679
42,ABBV,Sorg Elaine K.,"SVP, US Commercial Operations","Aug 23, 2021",$120.00,13080,1569600,11595,"Aug 25, 2021, 06:08 PM",sell,120.4000015258789,110.90850007798937
43,SITM,CHADWICK ARTHUR D,"EVP, Chief Financial Officer","Aug 24, 2021",$203.28,218,44315,88774,"Aug 25, 2021, 06:08 PM",sell,195.5800018310547,118.83888910081652
44,SITM,CHADWICK ARTHUR D,"EVP, Chief Financial Officer","Aug 23, 2021",$203.08,4889,992858,88992,"Aug 25, 2021, 06:08 PM",sell,195.5800018310547,118.83888910081652
45,MDB,McMahon John Dennis,Director,"Aug 25, 2021",$390.00,1000,390000,12376,"Aug 25, 2021, 06:07 PM",sell,393.75,339.68766615125867
46,MDB,McMahon John Dennis,Director,"Aug 23, 2021",$369.83,3000,1109490,12376,"Aug 25, 2021, 06:07 PM",sell,393.75,339.68766615125867
47,BILL,Lacerte Rene A.,President and CEO,"Aug 23, 2021",$218.40,17953,3920973,38022,"Aug 25, 2021, 06:04 PM",sell,219.41000366210938,162.3371105617947
48,BILL,Lacerte Rene A.,President and CEO,"Aug 24, 2021",$219.06,7047,1543700,42122,"Aug 25, 2021, 06:04 PM",sell,219.41000366210938,162.3371105617947
49,SNFCA,Overbaugh Jason G.,VP/Ntnl Marketing Dir-Life Ins,"Jul 16, 2021",$8.48,2950,25016,104533,"Aug 25, 2021, 06:03 PM",sell,9.300000190734863,8.492439153459337
50,SITM,VASHIST RAJESH,Chief Executive Officer,"Aug 24, 2021",$201.56,1182,238244,603892,"Aug 25, 2021, 05:57 PM",sell,195.5800018310547,118.83888910081652
51,SITM,VASHIST RAJESH,Chief Executive Officer,"Aug 23, 2021",$201.91,21440,4328950,605074,"Aug 25, 2021, 05:57 PM",sell,195.5800018310547,118.83888910081652
52,LITE,Sepe Matthew Joseph,Chief Accounting Officer,"Aug 23, 2021",$86.37,3145,271635,14850,"Aug 25, 2021, 05:56 PM",sell,86.91000366210938,87.39961128234863
53,FOLD,Prout Samantha,Principal Accounting Officer,"Aug 23, 2021",$11.00,5045,55495,83170,"Aug 25, 2021, 05:55 PM",sell,11.09000015258789,12.97744443681505
54,HALO,BIZZARI JEAN-PIERRE,Director,"Aug 25, 2021",$41.01,35000,1435455,52544,"Aug 25, 2021, 05:54 PM",sell,41.02000045776367,44.065888828701446
55,CSL,Roche Robert M.,VP & Chief Financial Officer,"Aug 25, 2021",$210.95,10480,2210716,25487,"Aug 25, 2021, 05:53 PM",sell,210.61000061035156,175.14666612413194
56,LITE,LOWE ALAN S,Chief Executive Officer,"Aug 23, 2021",$86.86,9861,856526,130803,"Aug 25, 2021, 05:52 PM",sell,86.91000366210938,87.39961128234863
57,IRMD,Susi Roger E.,"President, CEO and Chairman","Aug 24, 2021",$33.59,5000,167974,906050,"Aug 25, 2021, 05:52 PM",sell,33.099998474121094,27.33444440629747
58,IRMD,Susi Roger E.,"President, CEO and Chairman","Aug 23, 2021",$33.74,5000,168712,911050,"Aug 25, 2021, 05:52 PM",sell,33.099998474121094,27.33444440629747
59,TLS,WOOD EMMETT J.,"EVP, Marketing & Strategy","Aug 24, 2021",$31.29,28682,897460,402680,"Aug 25, 2021, 05:47 PM",sell,31.8799991607666,32.43783335155911
60,ZLAB,Reinhart Harald,Chief Medical Officer,"Aug 24, 2021",$143.36,8000,1146880,0,"Aug 25, 2021, 05:47 PM",sell,143.5,153.29122259351942
61,ZLAB,Reinhart Harald,Chief Medical Officer,"Aug 23, 2021",$135.00,8000,1080000,0,"Aug 25, 2021, 05:47 PM",sell,143.5,153.29122259351942
62,BCYC,Kalowski Lee,President and CFO,"Aug 23, 2021",$33.02,7500,247650,0,"Aug 25, 2021, 05:45 PM",sell,32.06999969482422,27.952472252315946
63,MCHP,MEYERCORD WADE F,Director,"Aug 24, 2021",$148.83,500,74414,16788,"Aug 25, 2021, 05:45 PM",sell,151.4499969482422,148.24516694810654
64,EMKR,JACKSON REX S,Director,"Aug 25, 2021",$7.51,17000,127670,90641,"Aug 25, 2021, 05:44 PM",sell,7.650000095367432,7.15683331489563
65,PYPL,Auerbach Jonathan,"EVP,Chief Strategy,Growth & Da","Aug 24, 2021",$278.64,12314,3431208,80922,"Aug 25, 2021, 05:43 PM",sell,277.69000244140625,261.81536187065973
66,NXPI,GOLDMAN KENNETH A,Director,"Aug 23, 2021",$210.77,2500,526931,20240,"Aug 25, 2021, 05:40 PM",sell,217.7899932861328,191.3265000237359
67,ETWO,Elliott Investment Management L.P.,10% Owner,"Aug 24, 2021",$11.63,193196,2246870,26995617,"Aug 25, 2021, 05:39 PM",sell,11.829999923706055,10.82644443511963
68,ETWO,Elliott Investment Management L.P.,10% Owner,"Aug 23, 2021",$11.03,300000,3309000,27188813,"Aug 25, 2021, 05:39 PM",sell,11.829999923706055,10.82644443511963
69,ETWO,Elliott Investment Management L.P.,10% Owner,"Aug 25, 2021",$11.98,171746,2057517,26823871,"Aug 25, 2021, 05:39 PM",sell,11.829999923706055,10.82644443511963
70,SAFE,ADLER DEAN S,Director,"Aug 25, 2021",$88.38,24000,2121156,170267,"Aug 25, 2021, 05:38 PM",sell,87.91000366210938,76.42727784050835
71,SAFE,ADLER DEAN S,Director,"Aug 24, 2021",$87.96,28500,2506817,194267,"Aug 25, 2021, 05:38 PM",sell,87.91000366210938,76.42727784050835
72,SAFE,ADLER DEAN S,Director,"Aug 23, 2021",$88.57,12130,1074299,222767,"Aug 25, 2021, 05:38 PM",sell,87.91000366210938,76.42727784050835
73,PLBY,Fortress Investment Group LLC,See Remarks,"Aug 25, 2021",$24.51,189482,4644244,2718733,"Aug 25, 2021, 05:37 PM",sell,24.40999984741211,26.48416658507453
74,PLBY,Fortress Investment Group LLC,See Remarks,"Aug 24, 2021",$22.83,99220,2264939,2782733,"Aug 25, 2021, 05:37 PM",sell,24.40999984741211,26.48416658507453
75,PLBY,Fortress Investment Group LLC,See Remarks,"Aug 23, 2021",$22.56,122623,2766041,2926688,"Aug 25, 2021, 05:37 PM",sell,24.40999984741211,26.48416658507453
76,UEIC,ZINSER EDWARD K,Director,"Aug 24, 2021",$50.70,3188,161632,19312,"Aug 25, 2021, 05:36 PM",sell,49.47999954223633,52.99238895840115
77,SONM,"B. Riley Financial, Inc.",10% Owner,"Aug 25, 2021",$0.41,1500000,617700,2903765,"Aug 25, 2021, 05:31 PM",sell,0.4000000059604645,0.697877775463793
78,SONM,"B. Riley Financial, Inc.",10% Owner,"Aug 24, 2021",$0.41,1160078,474124,4403765,"Aug 25, 2021, 05:31 PM",sell,0.4000000059604645,0.697877775463793
79,SONM,"B. Riley Financial, Inc.",10% Owner,"Aug 23, 2021",$0.40,176482,69993,5563843,"Aug 25, 2021, 05:31 PM",sell,0.4000000059604645,0.697877775463793
