,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
1,"ROCKETFUEL BLOCKCHAIN, INC.",Jensen Peter Michael,CEO,"Aug 25, 2021",$1.05,5000,5244,869443,"Aug 25, 2021, 09:48 PM",buy
2,Williams Industrial Services Group Inc.,OBUS NELSON,Director,"Aug 23, 2021",$4.03,46700,188033,6398606,"Aug 25, 2021, 09:34 PM",buy
3,"Population Health Investment Co., Inc.",MEANWELL CLIVE,Chief Executive Officer,"Aug 24, 2021",$9.80,16400,160669,16400,"Aug 25, 2021, 09:21 PM",buy
4,"RAPT Therapeutics, Inc.",Robbins Wendye,Director,"Aug 24, 2021",$30.99,525,16270,2000,"Aug 25, 2021, 09:08 PM",buy
5,"RAPT Therapeutics, Inc.",Robbins Wendye,Director,"Aug 23, 2021",$31.39,1475,46295,1475,"Aug 25, 2021, 09:08 PM",buy
6,"Biomea Fusion, Inc.",Erdtmann Rainer M,President & COO,"Aug 23, 2021",$13.20,24000,316872,228470,"Aug 25, 2021, 08:56 PM",buy
7,"Biomea Fusion, Inc.",Butler Thomas Andrew,CEO,"Aug 23, 2021",$13.20,24000,316872,228470,"Aug 25, 2021, 08:55 PM",buy
8,"ROCKETFUEL BLOCKCHAIN, INC.",Yankowitz Bennett J.,CFO,"Aug 25, 2021",$0.95,1000,950,1355500,"Aug 25, 2021, 08:43 PM",buy
9,Bright Health Group Inc.,Newhall Adair,Director,"Aug 23, 2021",$10.25,16252,166583,16252,"Aug 25, 2021, 08:34 PM",buy
10,Bright Health Group Inc.,Newhall Adair,Director,"Aug 25, 2021",$10.32,16276,167968,48694,"Aug 25, 2021, 08:34 PM",buy
11,Bright Health Group Inc.,Newhall Adair,Director,"Aug 24, 2021",$10.44,16166,168773,32418,"Aug 25, 2021, 08:34 PM",buy
12,"MINIM, INC.",Doherty Sean Patrick,Chief Financial Officer,"Aug 25, 2021",$2.24,2250,5040,22250,"Aug 25, 2021, 08:31 PM",buy
13,NEW PEOPLES BANKSHARES INC,James Kiser W,EVP/Chief Banking Officer,"Aug 25, 2021",$2.00,572,1144,10360,"Aug 25, 2021, 08:19 PM",buy
14,Heritage Global Inc.,Hexner Michael,Director,"Aug 25, 2021",$1.90,34504,65515,60530,"Aug 25, 2021, 08:15 PM",buy
15,"Rocky Mountain Chocolate Factory, Inc.",Radoff Bradley Louis,See Explanation of Responses,"Aug 24, 2021",$7.29,3594,26200,320001,"Aug 25, 2021, 08:09 PM",buy
16,"Rocky Mountain Chocolate Factory, Inc.",Radoff Bradley Louis,See Explanation of Responses,"Aug 23, 2021",$7.17,11407,81788,316407,"Aug 25, 2021, 08:09 PM",buy
17,"Sientra, Inc.",Schmidt Andrew C,Chief Financial Officer,"Aug 23, 2021",$5.90,1449,8549,51613,"Aug 25, 2021, 08:05 PM",buy
18,"SoFi Technologies, Inc.",Webster Aaron,Chief Risk Officer,"Aug 23, 2021",$14.34,1000,14340,273763,"Aug 25, 2021, 08:01 PM",buy
19,"Cerevel Therapeutics Holdings, Inc.",PERCEPTIVE ADVISORS LLC,Director,"Aug 23, 2021",$25.78,44437,1145586,4887532,"Aug 25, 2021, 07:14 PM",buy
20,"Cerevel Therapeutics Holdings, Inc.",PERCEPTIVE ADVISORS LLC,Director,"Aug 25, 2021",$28.57,61387,1753827,5018680,"Aug 25, 2021, 07:14 PM",buy
21,"Cerevel Therapeutics Holdings, Inc.",PERCEPTIVE ADVISORS LLC,Director,"Aug 24, 2021",$27.73,69761,1934472,4957293,"Aug 25, 2021, 07:14 PM",buy
22,"FireEye, Inc.",COVIELLO ARTHUR W JR,Director,"Aug 23, 2021",$17.38,2878,50016,12878,"Aug 25, 2021, 07:03 PM",buy
23,Clough Global Opportunities Fund,McNally Kevin Joseph,Trustee,"Aug 23, 2021",$12.64,3134,39621,1000,"Aug 25, 2021, 06:24 PM",buy
24,Clough Global Equity Fund,McNally Kevin Joseph,Trustee,"Aug 23, 2021",$14.99,2167,32484,1000,"Aug 25, 2021, 06:19 PM",buy
25,Clough Global Dividend & Income Fund,McNally Kevin Joseph,Trustee,"Aug 23, 2021",$11.79,5707,67277,5807,"Aug 25, 2021, 06:14 PM",buy
26,NexPoint Strategic Opportunities Fund,Constantino Edward N.,Director,"Aug 25, 2021",$14.95,9670,144566,16870,"Aug 25, 2021, 06:13 PM",buy
27,"Lumen Technologies, Inc.",CLONTZ STEVEN T,Director,"Aug 23, 2021",$11.98,5000,59880,300015,"Aug 25, 2021, 06:03 PM",buy
28,OGE ENERGY CORP.,RAINBOLT DAVID E,Director,"Aug 23, 2021",$35.80,5000,178997,7000,"Aug 25, 2021, 05:57 PM",buy
29,"Array Technologies, Inc.",Schmid Gerrard,Director,"Aug 25, 2021",$19.01,10200,193882,10200,"Aug 25, 2021, 05:57 PM",buy
30,Hippo Holdings Inc.,Wand Assaf,See Remarks,"Aug 23, 2021",$3.99,11800,47141,17111143,"Aug 25, 2021, 05:40 PM",buy
31,"City Office REIT, Inc.",Flatt William R,Director,"Aug 25, 2021",$15.90,1560,24796,25720,"Aug 25, 2021, 05:37 PM",buy
32,ONCOSEC MEDICAL Inc,DALESANDRO MARGARET,Director,"Aug 23, 2021",$1.89,20000,37800,20000,"Aug 25, 2021, 05:31 PM",buy
33,"ARCH RESOURCES, INC.",BARTELS PATRICK J JR,Director,"Aug 25, 2021",$73.53,750,55147,3750,"Aug 25, 2021, 05:27 PM",buy
34,JMP GROUP LLC,WEDBUSH SECURITIES INC,10% Owner,"Aug 23, 2021",$7.22,1000,7222,2244000,"Aug 25, 2021, 05:26 PM",buy
35,JMP GROUP LLC,WEDBUSH SECURITIES INC,10% Owner,"Aug 23, 2021",$7.22,1000,7222,2244000,"Aug 25, 2021, 05:26 PM",buy
36,HARTE HANKS INC,Linscott Brian,Chief Executive Officer,"Aug 24, 2021",$6.70,1000,6700,286579,"Aug 25, 2021, 05:19 PM",buy
37,Heritage Global Inc.,DOVE ROSS,CEO,"Aug 25, 2021",$2.13,24913,53065,2049227,"Aug 25, 2021, 05:05 PM",buy
38,"Vyant Bio, Inc.",ROBERTS JOHN A,Chief Executive Officer,"Aug 23, 2021",$2.41,10406,25078,34807,"Aug 25, 2021, 05:03 PM",buy
39,JACK IN THE BOX INC /NEW/,LINDERMAN TIMOTHY T,SVP Chf Fran&Corp Dev Officer,"Aug 25, 2021",$102.00,97,9894,1455,"Aug 25, 2021, 04:58 PM",buy
40,"American Assets Trust, Inc.",RADY ERNEST S,Chairman & CEO,"Aug 24, 2021",$38.02,4609,175234,1869549,"Aug 25, 2021, 04:51 PM",buy
41,Citizens Community Bancorp Inc.,Bianchi Stephen M,CEO and President,"Aug 25, 2021",$13.95,400,5582,47941,"Aug 25, 2021, 04:41 PM",buy
42,CHIMERA INVESTMENT CORP,Kortman Kelley,Principal Accounting Officer,"Aug 25, 2021",$26.26,300,7878,5800,"Aug 25, 2021, 04:33 PM",buy
43,BIO KEY INTERNATIONAL INC,DEPASQUALE MICHAEL W,Chief Executive Officer,"Aug 25, 2021",$3.19,1200,3828,22458,"Aug 25, 2021, 04:31 PM",buy
44,BIO KEY INTERNATIONAL INC,DEPASQUALE MICHAEL W,Chief Executive Officer,"Aug 23, 2021",$2.95,800,2360,21258,"Aug 25, 2021, 04:31 PM",buy
45,"Global Self Storage, Inc.",WINMILL MARK CAMPBELL,President and CEO,"Aug 24, 2021",$5.12,1000,5120,162112,"Aug 25, 2021, 04:31 PM",buy
46,"Krispy Kreme, Inc.",JAB Holdings B.V.,10% Owner,"Aug 23, 2021",$16.32,356680,5819878,6768529,"Aug 25, 2021, 04:24 PM",buy
47,"Krispy Kreme, Inc.",JAB Holdings B.V.,10% Owner,"Aug 24, 2021",$17.01,356680,6066414,7125209,"Aug 25, 2021, 04:24 PM",buy
48,FMC CORP,DOUGLAS MARK,President and CEO,"Aug 24, 2021",$90.57,1100,99624,49656,"Aug 25, 2021, 04:21 PM",buy
49,"Evolus, Inc.",Medytox Inc.,10% Owner,"Aug 24, 2021",$11.17,72219,807033,7302652,"Aug 25, 2021, 04:21 PM",buy
50,"Evolus, Inc.",Medytox Inc.,10% Owner,"Aug 23, 2021",$11.03,69781,769775,7230433,"Aug 25, 2021, 04:21 PM",buy
51,"Cyclacel Pharmaceuticals, Inc.",BARKER SAM L,Director,"Aug 24, 2021",$5.00,1000,5000,3386,"Aug 25, 2021, 04:16 PM",buy
52,KOPIN CORP,FAN JOHN C C,CEO & President,"Aug 24, 2021",$5.45,50000,272500,5546309,"Aug 25, 2021, 04:15 PM",buy
53,Adtalem Global Education Inc.,MALAFRONTE MICHAEL W,Director,"Aug 24, 2021",$35.99,9000,323910,22200,"Aug 25, 2021, 04:10 PM",buy
54,William Penn Bancorporation,Logan Jonathan Thomas,EVP & CFO,"Aug 25, 2021",$12.27,150,1841,6150,"Aug 25, 2021, 04:10 PM",buy
55,Trinity Capital Inc.,Lund David Michael,"CFO, EVP - Finance & Treasurer","Aug 23, 2021",$14.99,3500,52465,3500,"Aug 25, 2021, 04:05 PM",buy
56,"DUOS TECHNOLOGIES GROUP, INC.",Ferry Charles Parker,Chief Executive Officer,"Aug 17, 2021",$5.75,1500,8628,3000,"Aug 25, 2021, 04:05 PM",buy
57,"ViewRay, Inc.",Stassen Zachary William,Chief Financial Officer,"Aug 24, 2021",$5.32,40000,212800,447433,"Aug 25, 2021, 04:05 PM",buy
58,ScION Tech Growth I,Pignataro Andrea,Executive Chairman,"Aug 23, 2021",$9.92,3200,31744,69120,"Aug 25, 2021, 04:05 PM",buy
59,"FlexShopper, Inc.",Dvorkin Howard,Director,"Aug 23, 2021",$2.40,10004,24010,2940682,"Aug 25, 2021, 04:05 PM",buy
60,"STRYVE FOODS, INC.",Hawkins Alex,CFO & COO,"Aug 19, 2021",$5.99,1000,5990,1000,"Aug 25, 2021, 03:59 PM",buy
61,UNICO AMERICAN CORP,Cheldin Cary,former director/related party,"Aug 24, 2021",$2.98,200,595,320,"Aug 25, 2021, 03:33 PM",buy
62,AIR INDUSTRIES GROUP,Brand Michael,Director,"Aug 24, 2021",$1.20,10000,12000,56504,"Aug 25, 2021, 03:28 PM",buy
63,"Riley Exploration Permian, Inc.",Texel Resources Inc.,10% Owner,"Aug 17, 2021",$16.98,9660,164064,1836212,"Aug 25, 2021, 03:14 PM",buy
64,"Riley Exploration Permian, Inc.",Texel Resources Inc.,10% Owner,"Aug 16, 2021",$16.96,12818,217338,1826552,"Aug 25, 2021, 03:14 PM",buy
65,Spark Networks SE,Eichmann Eric,Chief Executive Officer,"Aug 25, 2021",$3.50,13500,47250,72236,"Aug 25, 2021, 03:08 PM",buy
66,NORTHRIM BANCORP INC,SWALLING JOHN C,Director,"Aug 24, 2021",$40.92,600,24552,7236,"Aug 25, 2021, 01:59 PM",buy
67,FRANKLIN FINANCIAL SERVICES CORP /PA/,Hollar Mark R,CFO,"Aug 25, 2021",$32.35,3,97,5999,"Aug 25, 2021, 01:56 PM",buy
68,COMPUTER TASK GROUP INC,Helvey III James R,Director,"Aug 25, 2021",$8.52,5000,42612,149985,"Aug 25, 2021, 01:23 PM",buy
69,"Renewable Energy Group, Inc.",WARNER CYNTHIA J,President and CEO,"Aug 24, 2021",$49.94,1500,74910,107757,"Aug 25, 2021, 01:07 PM",buy
70,"Rafael Holdings, Inc.",JONAS HOWARD S,Chief Executive Officer,"Aug 24, 2021",$44.92,112561,5056240,112561,"Aug 25, 2021, 12:24 PM",buy
71,Heritage Global Inc.,COBB BRIAN J.,VP of Finance and Controller,"Aug 25, 2021",$1.85,10500,19425,49625,"Aug 25, 2021, 11:59 AM",buy
72,"LifeMD, Inc.",Deutsch Corey,Chief Business Officer,"Aug 25, 2021",$7.69,6400,49241,123569,"Aug 25, 2021, 11:56 AM",buy
73,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Aug 24, 2021",$2.45,300,735,172375,"Aug 25, 2021, 10:54 AM",buy
74,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Aug 24, 2021",$2.45,300,735,172075,"Aug 25, 2021, 10:54 AM",buy
75,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Aug 24, 2021",$2.45,75,184,171775,"Aug 25, 2021, 10:54 AM",buy
76,"SurgePays, Inc.",Mott John,CHIEF TECHNOLOGY OFFICER,"Aug 24, 2021",$0.09,10000,950,199373,"Aug 25, 2021, 10:51 AM",buy
77,Texas Pacific Land Corp,STAHL MURRAY,Director,"Aug 24, 2021",$1392.43,3,4177,1124,"Aug 25, 2021, 10:36 AM",buy
78,Texas Pacific Land Corp,STAHL MURRAY,Director,"Aug 24, 2021",$1392.43,1,1392,1390,"Aug 25, 2021, 10:36 AM",buy
79,Texas Pacific Land Corp,STAHL MURRAY,Director,"Aug 24, 2021",$1392.43,12,16709,228875,"Aug 25, 2021, 10:36 AM",buy
80,Texas Pacific Land Corp,STAHL MURRAY,Director,"Aug 24, 2021",$1392.43,2,2785,102537,"Aug 25, 2021, 10:36 AM",buy
81,Texas Pacific Land Corp,STAHL MURRAY,Director,"Aug 24, 2021",$1392.43,3,4177,1304,"Aug 25, 2021, 10:36 AM",buy
82,Texas Pacific Land Corp,STAHL MURRAY,Director,"Aug 24, 2021",$1392.43,1,1392,42912,"Aug 25, 2021, 10:36 AM",buy
83,"cbdMD, Inc.",Kennedy Thomas Ronan,CFO & COO,"Aug 24, 2021",$2.04,7400,15096,7400,"Aug 25, 2021, 10:15 AM",buy
84,Scopus BioPharma Inc.,Greenspan Ira Scott,Executive Committee Chairman,"Aug 24, 2021",$4.65,50,233,82340,"Aug 25, 2021, 08:15 AM",buy
85,Scopus BioPharma Inc.,Greenspan Ira Scott,Executive Committee Chairman,"Aug 23, 2021",$4.41,500,2205,82290,"Aug 25, 2021, 08:15 AM",buy
86,Hall of Fame Resort & Entertainment Co,Crawford Michael Anthony,President and CEO,"Aug 24, 2021",$2.89,20000,57800,2110371,"Aug 25, 2021, 07:27 AM",buy
87,"Reservoir Media, Inc.",Rothstein Adam,Director,"Aug 24, 2021",$7.72,6800,52496,161189,"Aug 24, 2021, 09:09 PM",buy
88,"Reservoir Media, Inc.",Rothstein Adam,Director,"Aug 23, 2021",$7.87,10200,80274,154389,"Aug 24, 2021, 09:09 PM",buy
89,"Funko, Inc.","Woodson Capital Management, LP",10% Owner,"Aug 20, 2021",$17.93,181506,3254965,4043012,"Aug 24, 2021, 08:53 PM",buy
90,Alkermes plc.,Alva Emily Peterson,Director,"Aug 23, 2021",$30.22,1650,49855,1650,"Aug 24, 2021, 08:48 PM",buy
91,"Oscar Health, Inc.",Kushner Joshua,Co-Founder and Vice Chairman,"Aug 23, 2021",$13.01,125900,1638009,194442,"Aug 24, 2021, 08:44 PM",buy
92,"Oscar Health, Inc.",Kushner Joshua,Co-Founder and Vice Chairman,"Aug 20, 2021",$13.41,68542,919196,68542,"Aug 24, 2021, 08:44 PM",buy
93,"Oscar Health, Inc.",Kushner Joshua,Co-Founder and Vice Chairman,"Aug 24, 2021",$12.69,1074342,13633400,1268784,"Aug 24, 2021, 08:44 PM",buy
94,Boxlight Corp,Nance Henry,CHIEF EXECUTIVE OFFICER,"Aug 19, 2021",$2.08,2000,4160,124741,"Aug 24, 2021, 08:43 PM",buy
95,"Oscar Health, Inc.","Thrive Partners VII Growth GP, LLC",10% Owner,"Aug 23, 2021",$13.01,125900,1638009,194442,"Aug 24, 2021, 08:43 PM",buy
96,"Oscar Health, Inc.","Thrive Partners VII Growth GP, LLC",10% Owner,"Aug 20, 2021",$13.41,68042,912593,68542,"Aug 24, 2021, 08:43 PM",buy
97,"Oscar Health, Inc.","Thrive Partners VII Growth GP, LLC",10% Owner,"Aug 24, 2021",$12.69,1074342,13633400,1268784,"Aug 24, 2021, 08:43 PM",buy
98,Boxlight Corp,Starkey Mark,PRESIDENT,"Aug 24, 2021",$2.31,20000,46200,157500,"Aug 24, 2021, 08:42 PM",buy
99,ON24 INC.,Sharan Sharat,President and Chief Executive,"Aug 24, 2021",$22.12,23500,519829,1933172,"Aug 24, 2021, 08:32 PM",buy
100,ONCOSEC MEDICAL Inc,Zhao Yuhang,Director,"Aug 23, 2021",$1.88,4000,7520,12000,"Aug 24, 2021, 08:03 PM",buy
101,ONCOSEC MEDICAL Inc,Zhao Yuhang,Director,"Aug 20, 2021",$1.94,8000,15520,8000,"Aug 24, 2021, 08:03 PM",buy
1,ONCOSEC MEDICAL Inc,Zhao Yuhang,Director,"Aug 23, 2021",$1.88,4000,7520,12000,"Aug 24, 2021, 08:03 PM",buy
2,ONCOSEC MEDICAL Inc,Zhao Yuhang,Director,"Aug 20, 2021",$1.94,8000,15520,8000,"Aug 24, 2021, 08:03 PM",buy
3,"Kronos Bio, Inc.",De Backer Marianne,Director,"Aug 20, 2021",$19.56,1000,19565,1600,"Aug 24, 2021, 07:24 PM",buy
4,DXC Technology Co,FERNANDEZ RAUL J,Director,"Aug 23, 2021",$35.83,1390,49807,54468,"Aug 24, 2021, 07:03 PM",buy
5,DXC Technology Co,FERNANDEZ RAUL J,Director,"Aug 20, 2021",$35.63,280,9977,53078,"Aug 24, 2021, 07:03 PM",buy
6,"Hudson Global, Inc.",Eberwein Jeffrey E.,Chief Executive Officer,"Aug 23, 2021",$17.46,500,8730,168120,"Aug 24, 2021, 07:00 PM",buy
7,"Hudson Global, Inc.",Eberwein Jeffrey E.,Chief Executive Officer,"Aug 20, 2021",$17.40,500,8700,167620,"Aug 24, 2021, 07:00 PM",buy
8,"LUMOS PHARMA, INC.",LALANDE KEVIN M.,Director,"Aug 24, 2021",$9.45,10775,101871,651751,"Aug 24, 2021, 06:19 PM",buy
9,"LUMOS PHARMA, INC.",LALANDE KEVIN M.,Director,"Aug 23, 2021",$9.58,37800,362150,640976,"Aug 24, 2021, 06:19 PM",buy
10,"LUMOS PHARMA, INC.",LALANDE KEVIN M.,Director,"Aug 20, 2021",$8.73,35679,311638,603176,"Aug 24, 2021, 06:19 PM",buy
11,"CorEnergy Infrastructure Trust, Inc.",SCHULTE DAVID J,President & CEO & Chairman,"Aug 23, 2021",$4.16,1000,4165,29000,"Aug 24, 2021, 06:16 PM",buy
12,"CorEnergy Infrastructure Trust, Inc.",SCHULTE DAVID J,President & CEO & Chairman,"Aug 20, 2021",$4.31,1000,4305,28000,"Aug 24, 2021, 06:16 PM",buy
13,"LiveXLive Media, Inc.",ELLIN ROBERT S,CEO & Chairman,"Aug 24, 2021",$3.13,5000,15652,1624666,"Aug 24, 2021, 06:08 PM",buy
14,"Priority Technology Holdings, Inc.",Faupel David,Chief Marketing Officer,"Aug 24, 2021",$5.52,2300,12696,2300,"Aug 24, 2021, 05:45 PM",buy
15,AIR T INC,Swenson Nicholas John,CEO,"Aug 23, 2021",$33.37,100,3337,959592,"Aug 24, 2021, 05:42 PM",buy
16,AIR T INC,Swenson Nicholas John,CEO,"Aug 20, 2021",$33.72,100,3372,959492,"Aug 24, 2021, 05:42 PM",buy
17,AIR T INC,Swenson Nicholas John,CEO,"Aug 24, 2021",$34.71,200,6941,959792,"Aug 24, 2021, 05:42 PM",buy
18,"CYNERGISTEK, INC",Sellers Dana Davis,Director,"Aug 23, 2021",$1.90,5000,9477,45000,"Aug 24, 2021, 05:40 PM",buy
19,"Affinity Bancshares, Inc.",LEHMAN KENNETH R,10% Owner,"Aug 18, 2021",$13.49,448,6044,686630,"Aug 24, 2021, 05:37 PM",buy
20,"Affinity Bancshares, Inc.",LEHMAN KENNETH R,10% Owner,"Aug 24, 2021",$13.56,406,5505,696123,"Aug 24, 2021, 05:37 PM",buy
21,"Affinity Bancshares, Inc.",LEHMAN KENNETH R,10% Owner,"Aug 16, 2021",$13.24,20,265,686182,"Aug 24, 2021, 05:37 PM",buy
22,"Affinity Bancshares, Inc.",LEHMAN KENNETH R,10% Owner,"Aug 23, 2021",$13.64,3007,41015,695717,"Aug 24, 2021, 05:37 PM",buy
23,"Affinity Bancshares, Inc.",LEHMAN KENNETH R,10% Owner,"Aug 06, 2021",$13.14,252,3311,686162,"Aug 24, 2021, 05:37 PM",buy
24,"Affinity Bancshares, Inc.",LEHMAN KENNETH R,10% Owner,"Aug 20, 2021",$13.38,6080,81350,692710,"Aug 24, 2021, 05:37 PM",buy
25,HENRY JACK & ASSOCIATES INC,Wilson Thomas Hampton Jr.,Director,"Aug 24, 2021",$175.12,169,29595,12250,"Aug 24, 2021, 05:21 PM",buy
26,"Global Self Storage, Inc.",WINMILL MARK CAMPBELL,President and CEO,"Aug 20, 2021",$5.10,4000,20400,161112,"Aug 24, 2021, 05:18 PM",buy
27,CAPITAL SENIOR LIVING CORP,Levinson Sam,10% Owner,"Aug 23, 2021",$34.05,8699,296233,354087,"Aug 24, 2021, 05:16 PM",buy
28,CAPITAL SENIOR LIVING CORP,Levinson Sam,10% Owner,"Aug 20, 2021",$31.47,775,24389,345208,"Aug 24, 2021, 05:16 PM",buy
29,AMES NATIONAL CORP,LARSON JAMES R II,Director,"Aug 24, 2021",$23.25,500,11625,30000,"Aug 24, 2021, 05:14 PM",buy
30,Cincinnati Bancorp,Anness Harold L.,Director,"Aug 23, 2021",$14.18,400,5671,6453,"Aug 24, 2021, 05:11 PM",buy
31,AMES NATIONAL CORP,Hagan Patrick G,Director,"Aug 23, 2021",$23.50,100,2350,4036,"Aug 24, 2021, 05:08 PM",buy
32,HCW Biologics Inc.,Flowers Lee,SVP of Business Development,"Aug 23, 2021",$3.95,5605,22157,91667,"Aug 24, 2021, 05:05 PM",buy
33,HCW Biologics Inc.,Flowers Lee,SVP of Business Development,"Aug 20, 2021",$4.08,7853,32069,86062,"Aug 24, 2021, 05:05 PM",buy
34,HCW Biologics Inc.,Flowers Lee,SVP of Business Development,"Aug 19, 2021",$4.29,10532,45218,78209,"Aug 24, 2021, 05:01 PM",buy
35,Myovant Sciences Ltd.,"Sumitomo Chemical Co., Ltd.",10% Owner,"Aug 20, 2021",$20.86,46478,969540,48823283,"Aug 24, 2021, 05:00 PM",buy
36,Myovant Sciences Ltd.,"Sumitomo Chemical Co., Ltd.",10% Owner,"Aug 23, 2021",$22.30,55447,1236736,48878730,"Aug 24, 2021, 05:00 PM",buy
37,RED ROBIN GOURMET BURGERS INC,MURPHY PAUL J B III,President and CEO,"Aug 24, 2021",$22.57,10000,225700,20000,"Aug 24, 2021, 04:56 PM",buy
38,CF BANKSHARES INC.,O'Dell Timothy T,CEO,"Aug 23, 2021",$18.65,163,3040,218451,"Aug 24, 2021, 04:49 PM",buy
39,RED ROBIN GOURMET BURGERS INC,Schweinfurth Lynn S,Chief Financial Officer,"Aug 23, 2021",$21.75,5000,108750,53627,"Aug 24, 2021, 04:49 PM",buy
40,"AppHarvest, Inc.",Burnham Ciara,Director,"Aug 20, 2021",$7.06,14150,99899,14150,"Aug 24, 2021, 04:49 PM",buy
41,RED ROBIN GOURMET BURGERS INC,Buchmeier Michael,Chief People Officer,"Aug 23, 2021",$22.06,1118,24663,19653,"Aug 24, 2021, 04:42 PM",buy
42,"Apple Hospitality REIT, Inc.",Hugh Redd,Director,"Aug 20, 2021",$14.53,1000,14535,105229,"Aug 24, 2021, 04:35 PM",buy
43,ENTRAVISION COMMUNICATIONS CORP,Vasquez Gilbert R,Director,"Aug 20, 2021",$6.60,20000,132000,750648,"Aug 24, 2021, 04:31 PM",buy
44,COMMUNITY TRUST BANCORP INC /KY/,PARRISH M LYNN,Director,"Aug 12, 2021",$41.50,4224,175279,118020,"Aug 24, 2021, 04:28 PM",buy
45,COMMUNITY TRUST BANCORP INC /KY/,PARRISH M LYNN,Director,"Aug 13, 2021",$41.50,3000,124500,121020,"Aug 24, 2021, 04:28 PM",buy
46,"Spero Therapeutics, Inc.","Aquilo Capital Management, LLC",10% Owner,"Aug 24, 2021",$16.28,40170,653795,4228404,"Aug 24, 2021, 04:28 PM",buy
47,"Spero Therapeutics, Inc.","Aquilo Capital Management, LLC",10% Owner,"Aug 23, 2021",$16.33,137835,2251342,4188234,"Aug 24, 2021, 04:28 PM",buy
48,"Spero Therapeutics, Inc.","Aquilo Capital Management, LLC",10% Owner,"Aug 20, 2021",$14.86,221190,3286905,4050399,"Aug 24, 2021, 04:28 PM",buy
49,BRIGHTCOVE INC,"Edenbrook Capital, LLC",10% Owner,"Aug 23, 2021",$11.35,200,2270,4414395,"Aug 24, 2021, 04:26 PM",buy
50,BRIGHTCOVE INC,"Edenbrook Capital, LLC",10% Owner,"Aug 20, 2021",$11.40,17470,199158,4414195,"Aug 24, 2021, 04:26 PM",buy
