,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
51,"CREE, INC.",LE DUY LOAN T,Director,"Aug 23, 2021",$84.61,1000,84610,18311,"Aug 24, 2021, 04:25 PM",buy
52,Cincinnati Bancorp,Bedinghaus Robert A.,Chairman/CEO,"Aug 23, 2021",$14.20,1000,14199,69022,"Aug 24, 2021, 04:22 PM",buy
53,"Evolv Technologies Holdings, Inc.",Charlton Kevin M.,Director,"Aug 24, 2021",$8.79,10000,87900,145000,"Aug 24, 2021, 04:15 PM",buy
54,BEACON ROOFING SUPPLY INC,Lonegro Frank A,EVP & CFO,"Aug 20, 2021",$48.68,2050,99794,13849,"Aug 24, 2021, 04:14 PM",buy
55,COMMUNITY TRUST BANCORP INC /KY/,PARRISH M LYNN,Director,"Aug 23, 2021",$41.50,2776,115204,123796,"Aug 24, 2021, 04:12 PM",buy
56,ScION Tech Growth I,Pignataro Andrea,Executive Chairman,"Aug 20, 2021",$9.92,22227,220563,65920,"Aug 24, 2021, 04:06 PM",buy
57,"Danimer Scientific, Inc.",Calhoun Philip Gregory,Director,"Aug 20, 2021",$14.16,7100,100536,243978,"Aug 24, 2021, 04:06 PM",buy
58,"Kontoor Brands, Inc.",Baxter Scott H,President and CEO,"Aug 20, 2021",$53.24,10000,532400,10000,"Aug 24, 2021, 04:06 PM",buy
59,Callon Petroleum Co,"Kimmeridge Energy Management Company, LLC",10% Owner,"Aug 23, 2021",$29.27,152503,4463976,6188157,"Aug 24, 2021, 04:06 PM",buy
60,Callon Petroleum Co,"Kimmeridge Energy Management Company, LLC",10% Owner,"Aug 20, 2021",$26.55,450000,11949745,6035654,"Aug 24, 2021, 04:06 PM",buy
61,Amplify Energy Corp.,Proman David,Director,"Aug 20, 2021",$3.36,15000,50379,45329,"Aug 24, 2021, 04:05 PM",buy
62,ScION Tech Growth II,Pignataro Andrea,Executive Chairman,"Aug 20, 2021",$9.89,253,2502,7522,"Aug 24, 2021, 04:05 PM",buy
63,"Cano Health, Inc.",Armstrong David J,See remarks,"Aug 18, 2021",$10.02,15000,150276,15000,"Aug 24, 2021, 04:05 PM",buy
64,KINGSWAY FINANCIAL SERVICES INC,STILWELL JOSEPH,Director,"Aug 20, 2021",$5.27,11425,60210,4500630,"Aug 24, 2021, 04:02 PM",buy
65,Compass Diversified Holdings,Ewing D Eugene,See Remark (a),"Aug 23, 2021",$27.84,1040,28954,88000,"Aug 24, 2021, 04:00 PM",buy
66,"REED'S, INC.",Bello John,Director,"Aug 16, 2021",$0.72,135000,97200,3670723,"Aug 24, 2021, 02:36 PM",buy
67,FARMERS NATIONAL BANC CORP /OH/,Muransky Edward,Director,"Jul 30, 2021",$15.40,7404,114022,47922,"Aug 24, 2021, 02:10 PM",buy
68,FARMERS NATIONAL BANC CORP /OH/,Muransky Edward,Director,"Aug 02, 2021",$15.40,2596,39978,50762,"Aug 24, 2021, 02:10 PM",buy
69,REPUBLIC BANCORP INC /KY/,Nichols George III,Director,"Aug 23, 2021",$50.37,200,10074,1384,"Aug 24, 2021, 01:44 PM",buy
70,WILLIS LEASE FINANCE CORP,WILLIS CHARLES F IV,CEO,"Aug 23, 2021",$37.43,13360,500065,871271,"Aug 24, 2021, 01:42 PM",buy
71,FIRST TRUST DYNAMIC EUROPE EQUITY INCOME FUND,BOWEN JAMES A,Director,"Aug 23, 2021",$13.60,35280,479674,157808,"Aug 24, 2021, 01:02 PM",buy
72,"Riley Exploration Permian, Inc.",Libin Alvin Gerald,10% Owner,"Aug 23, 2021",$17.43,3376,58851,1783078,"Aug 24, 2021, 12:59 PM",buy
73,"Riley Exploration Permian, Inc.",Libin Alvin Gerald,10% Owner,"Aug 20, 2021",$16.96,11000,186568,1779702,"Aug 24, 2021, 12:59 PM",buy
74,Bluegreen Vacations Holding Corp,NERENHAUSEN MARK,Director,"Aug 23, 2021",$20.57,150,3085,1200,"Aug 24, 2021, 12:52 PM",buy
75,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Aug 23, 2021",$2.44,300,731,171400,"Aug 24, 2021, 11:14 AM",buy
76,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Aug 23, 2021",$2.44,75,183,171100,"Aug 24, 2021, 11:14 AM",buy
77,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Aug 23, 2021",$2.44,300,731,171700,"Aug 24, 2021, 11:14 AM",buy
78,Texas Pacific Land Corp,STAHL MURRAY,Director,"Aug 23, 2021",$1364.00,3,4092,1301,"Aug 24, 2021, 10:59 AM",buy
79,Texas Pacific Land Corp,STAHL MURRAY,Director,"Aug 23, 2021",$1364.00,1,1364,42911,"Aug 24, 2021, 10:59 AM",buy
80,Texas Pacific Land Corp,STAHL MURRAY,Director,"Aug 23, 2021",$1364.00,3,4092,1121,"Aug 24, 2021, 10:59 AM",buy
81,Texas Pacific Land Corp,STAHL MURRAY,Director,"Aug 23, 2021",$1364.00,1,1364,1389,"Aug 24, 2021, 10:59 AM",buy
82,Texas Pacific Land Corp,STAHL MURRAY,Director,"Aug 23, 2021",$1364.00,12,16368,228863,"Aug 24, 2021, 10:59 AM",buy
83,Texas Pacific Land Corp,STAHL MURRAY,Director,"Aug 23, 2021",$1364.00,2,2728,102535,"Aug 24, 2021, 10:59 AM",buy
84,EAGLE FINANCIAL SERVICES INC,MILLESON JOHN R,Director,"Aug 20, 2021",$34.50,150,5175,132351,"Aug 24, 2021, 10:43 AM",buy
85,OLD SECOND BANCORP INC,BONIFAS EDWARD,Director,"Aug 23, 2021",$11.88,3350,39798,170674,"Aug 24, 2021, 10:22 AM",buy
86,"PARKS AMERICA, INC",KOHNEN CHARLES,Director,"Aug 19, 2021",$0.65,11000,7150,21834759,"Aug 24, 2021, 10:07 AM",buy
87,ReShape Lifesciences Inc.,STANKOVICH THOMAS,Chief Financial Officer,"Aug 20, 2021",$3.22,15000,48285,17613,"Aug 24, 2021, 08:59 AM",buy
88,"OCULAR THERAPEUTIX, INC",Mattessich Antony C.,President and CEO,"Aug 20, 2021",$9.89,5000,49450,102900,"Aug 24, 2021, 08:49 AM",buy
89,"Creatd, Inc.",Frommer Jeremy,Chief Executive Officer,"Aug 23, 2021",$2.93,1200,3513,334717,"Aug 24, 2021, 08:32 AM",buy
90,"FNCB Bancorp, Inc.",DeNaples Louis A Jr,Director,"Aug 20, 2021",$7.94,5038,40002,278237,"Aug 24, 2021, 07:33 AM",buy
91,GAN Ltd,MCGILL SEAMUS M,Director,"Aug 19, 2021",$14.20,1000,14200,30982,"Aug 23, 2021, 09:45 PM",buy
92,"Cricut, Inc.","Abdiel Capital Management, LLC",10% Owner,"Aug 23, 2021",$26.64,159770,4256291,8254183,"Aug 23, 2021, 09:44 PM",buy
93,"Cricut, Inc.","Abdiel Capital Management, LLC",10% Owner,"Aug 19, 2021",$27.00,214289,5784932,8038563,"Aug 23, 2021, 09:44 PM",buy
94,"Cricut, Inc.","Abdiel Capital Management, LLC",10% Owner,"Aug 20, 2021",$26.35,1486,39156,8090564,"Aug 23, 2021, 09:44 PM",buy
95,"Cricut, Inc.","Abdiel Capital Management, LLC",10% Owner,"Aug 20, 2021",$26.35,46251,1218714,8089078,"Aug 23, 2021, 09:44 PM",buy
96,"Cricut, Inc.","Abdiel Capital Management, LLC",10% Owner,"Aug 23, 2021",$26.64,4898,130483,8255232,"Aug 23, 2021, 09:44 PM",buy
97,"Cricut, Inc.","Abdiel Capital Management, LLC",10% Owner,"Aug 19, 2021",$27.00,6620,178713,8042827,"Aug 23, 2021, 09:44 PM",buy
98,"Corvus Pharmaceuticals, Inc.",MILLER RICHARD A MD,President and CEO,"Aug 20, 2021",$1.93,10000,19254,1288515,"Aug 23, 2021, 09:01 PM",buy
99,"ROCKETFUEL BLOCKCHAIN, INC.",Yankowitz Bennett J.,CFO,"Aug 23, 2021",$1.00,2000,2000,1354500,"Aug 23, 2021, 08:49 PM",buy
100,"Spirit of Texas Bancshares, Inc.","Metcalf, III Leo T.",Director,"Aug 20, 2021",$22.02,899,19796,86198,"Aug 23, 2021, 08:44 PM",buy
101,HCW Biologics Inc.,Flowers Lee,SVP of Business Development,"Aug 19, 2021",$4.25,10532,44785,78209,"Aug 23, 2021, 07:53 PM",buy
1,HCW Biologics Inc.,Byam Rebecca,Chief Financial Officer,"Aug 19, 2021",$4.40,10000,43979,62000,"Aug 23, 2021, 07:50 PM",buy
2,MERCADOLIBRE INC,Dubugras Henrique Vasoncelos,Director,"Aug 18, 2021",$1783.32,845,1506907,845,"Aug 23, 2021, 07:41 PM",buy
3,Keurig Dr Pepper Inc.,Whitmore Justin,Chief Strategy Officer,"Aug 20, 2021",$34.90,11,384,91621,"Aug 23, 2021, 07:17 PM",buy
4,Keurig Dr Pepper Inc.,Whitmore Justin,Chief Strategy Officer,"Aug 19, 2021",$34.34,1025,35199,91610,"Aug 23, 2021, 07:17 PM",buy
5,FAST Acquisition Corp.,"Chatham Asset Management, LLC",10% Owner,"Aug 20, 2021",$11.49,7500,86175,3966804,"Aug 23, 2021, 07:17 PM",buy
6,FAST Acquisition Corp.,"Chatham Asset Management, LLC",10% Owner,"Aug 19, 2021",$11.46,6250,71639,3959304,"Aug 23, 2021, 07:17 PM",buy
7,FAST Acquisition Corp.,"Chatham Asset Management, LLC",10% Owner,"Aug 23, 2021",$11.60,17100,198329,3983904,"Aug 23, 2021, 07:17 PM",buy
8,Capstone Green Energy Corp,Powelson Robert F,Director,"Aug 23, 2021",$4.27,187,798,21188,"Aug 23, 2021, 07:08 PM",buy
9,Valaris Ltd,OAK HILL ADVISORS LP,10% Owner,"Aug 19, 2021",$23.96,100000,2396000,9079806,"Aug 23, 2021, 07:06 PM",buy
10,Valaris Ltd,OAK HILL ADVISORS LP,10% Owner,"Aug 23, 2021",$25.38,75528,1916901,9212324,"Aug 23, 2021, 07:06 PM",buy
11,Valaris Ltd,OAK HILL ADVISORS LP,10% Owner,"Aug 20, 2021",$23.94,56990,1364341,9136796,"Aug 23, 2021, 07:06 PM",buy
12,"RAPT Therapeutics, Inc.",Robbins Wendye,Director,"Aug 20, 2021",$29.53,600,17716,8400,"Aug 23, 2021, 07:04 PM",buy
13,"Cano Health, Inc.",Hernandez Marlow,CEO and President,"Aug 20, 2021",$10.20,10000,102000,256900,"Aug 23, 2021, 07:00 PM",buy
14,"Cano Health, Inc.",Hernandez Marlow,CEO and President,"Aug 19, 2021",$10.38,25000,259500,246900,"Aug 23, 2021, 07:00 PM",buy
15,"Cano Health, Inc.",Hernandez Marlow,CEO and President,"Aug 18, 2021",$9.82,11900,116858,221900,"Aug 23, 2021, 07:00 PM",buy
16,Hippo Holdings Inc.,Wand Assaf,See Remarks,"Aug 19, 2021",$4.31,11395,49154,17099343,"Aug 23, 2021, 06:46 PM",buy
17,Hippo Holdings Inc.,Knauf Noah,Director,"Aug 19, 2021",$4.37,167213,730721,167213,"Aug 23, 2021, 06:43 PM",buy
18,Hippo Holdings Inc.,WIJNBERG SANDRA S,Director,"Aug 19, 2021",$4.28,117000,500374,117000,"Aug 23, 2021, 06:42 PM",buy
19,"Baudax Bio, Inc.",Casten Richard S,Chief Financial Officer,"Aug 20, 2021",$0.51,50000,25500,200000,"Aug 23, 2021, 06:42 PM",buy
20,Hippo Holdings Inc.,Landman Sam,Director,"Aug 19, 2021",$4.25,5813,24699,5813,"Aug 23, 2021, 06:42 PM",buy
21,Hippo Holdings Inc.,Ellis Stewart,Chief Financial Officer,"Aug 19, 2021",$4.25,24400,103700,3132825,"Aug 23, 2021, 06:41 PM",buy
22,Hippo Holdings Inc.,McCathron Richard,President,"Aug 19, 2021",$4.25,24100,102425,2532601,"Aug 23, 2021, 06:39 PM",buy
23,Vistra Corp.,HELM SCOTT B,Director,"Aug 19, 2021",$17.98,5000,89890,249010,"Aug 23, 2021, 06:39 PM",buy
24,Hippo Holdings Inc.,Feder Eric,Director,"Aug 19, 2021",$4.29,125000,536062,125000,"Aug 23, 2021, 06:37 PM",buy
25,"Startek, Inc.",Aboody Albert,Director,"Aug 20, 2021",$5.20,614,3193,5847,"Aug 23, 2021, 06:35 PM",buy
26,"Startek, Inc.",Aboody Albert,Director,"Aug 19, 2021",$5.20,1233,6412,5233,"Aug 23, 2021, 06:35 PM",buy
27,PACIFIC HEALTH CARE ORGANIZATION INC,KUBOTA TOM,CEO & President,"Aug 20, 2021",$1.01,11000,11110,7908000,"Aug 23, 2021, 06:33 PM",buy
28,APARTMENT INVESTMENT & MANAGEMENT CO,CONSIDINE TERRY,Director,"Aug 23, 2021",$6.61,76015,502452,1350000,"Aug 23, 2021, 06:31 PM",buy
29,APARTMENT INVESTMENT & MANAGEMENT CO,CONSIDINE TERRY,Director,"Aug 20, 2021",$6.50,223985,1454984,1273985,"Aug 23, 2021, 06:31 PM",buy
30,APARTMENT INVESTMENT & MANAGEMENT CO,CONSIDINE TERRY,Director,"Aug 19, 2021",$6.55,150000,982920,1050000,"Aug 23, 2021, 06:31 PM",buy
31,APARTMENT INVESTMENT & MANAGEMENT CO,CONSIDINE TERRY,Director,"Mar 29, 2021",$5.86,100000,585690,900000,"Aug 23, 2021, 06:28 PM",buy
32,APARTMENT INVESTMENT & MANAGEMENT CO,CONSIDINE TERRY,Director,"Mar 26, 2021",$5.94,100000,594320,800000,"Aug 23, 2021, 06:28 PM",buy
33,APARTMENT INVESTMENT & MANAGEMENT CO,CONSIDINE TERRY,Director,"Mar 25, 2021",$5.79,100000,578880,700000,"Aug 23, 2021, 06:28 PM",buy
34,Fusion Pharmaceuticals Inc.,GANNON STEVEN,Director,"Aug 23, 2021",$7.99,2829,22590,12000,"Aug 23, 2021, 06:28 PM",buy
35,"Krispy Kreme, Inc.",Tattersfield Michael J.,President and CEO,"Aug 19, 2021",$14.30,10500,150149,2676110,"Aug 23, 2021, 06:16 PM",buy
36,"BGSF, INC.",Baum Richard L Jr,Director,"Aug 20, 2021",$12.90,5000,64500,88170,"Aug 23, 2021, 06:14 PM",buy
37,"Krispy Kreme, Inc.",Goudet Olivier,Director,"Aug 19, 2021",$13.21,60000,792660,684853,"Aug 23, 2021, 06:08 PM",buy
38,CrossAmerica Partners LP,Topper Joseph V. Jr.,Director,"Aug 19, 2021",$17.49,50000,874603,118972,"Aug 23, 2021, 06:07 PM",buy
39,CrossAmerica Partners LP,Topper Joseph V. Jr.,Director,"Aug 23, 2021",$18.23,800,14581,121888,"Aug 23, 2021, 06:07 PM",buy
40,CrossAmerica Partners LP,Topper Joseph V. Jr.,Director,"Aug 20, 2021",$17.87,2116,37813,121088,"Aug 23, 2021, 06:07 PM",buy
41,JMP GROUP LLC,WEDBUSH SECURITIES INC,10% Owner,"Aug 20, 2021",$6.97,500,3485,2243000,"Aug 23, 2021, 06:05 PM",buy
42,JMP GROUP LLC,WEDBUSH SECURITIES INC,10% Owner,"Aug 19, 2021",$7.06,3999,28253,2242500,"Aug 23, 2021, 06:05 PM",buy
43,JMP GROUP LLC,WEDBUSH SECURITIES INC,10% Owner,"Aug 20, 2021",$6.97,500,3485,2243000,"Aug 23, 2021, 06:05 PM",buy
44,JMP GROUP LLC,WEDBUSH SECURITIES INC,10% Owner,"Aug 19, 2021",$7.06,3999,28253,2242500,"Aug 23, 2021, 06:05 PM",buy
45,ON24 INC.,ZWARENSTEIN BARRY,Director,"Aug 20, 2021",$20.45,25000,511188,42500,"Aug 23, 2021, 06:05 PM",buy
46,"Cocrystal Pharma, Inc.",PFENNIGER RICHARD C JR,Director,"Aug 20, 2021",$1.03,40000,41120,40000,"Aug 23, 2021, 06:02 PM",buy
47,"HARROW HEALTH, INC.",Opaleye Management Inc.,10% Owner,"Aug 19, 2021",$8.44,2500,21112,150000,"Aug 23, 2021, 05:59 PM",buy
48,"HARROW HEALTH, INC.",Opaleye Management Inc.,10% Owner,"Aug 19, 2021",$8.44,50000,422250,3135000,"Aug 23, 2021, 05:59 PM",buy
49,Scopus BioPharma Inc.,Lamstein Joshua R,Chairman,"Aug 19, 2021",$4.04,800,3232,119597,"Aug 23, 2021, 05:55 PM",buy
50,Blue Foundry Bancorp,Nesci James D,President and CEO,"Aug 20, 2021",$13.48,10000,134798,20082,"Aug 23, 2021, 05:49 PM",buy
51,OneSpan Inc.,McConnell Michael J,Director,"Aug 20, 2021",$18.06,5000,90300,15000,"Aug 23, 2021, 05:49 PM",buy
52,CENTRAL GARDEN & PET CO,Myers Daniel P.,Director,"Aug 19, 2021",$42.15,2375,100106,3966,"Aug 23, 2021, 05:33 PM",buy
53,Comstock Mining Inc.,Drozdoff Leo M,Director,"Aug 19, 2021",$2.75,17000,46750,323240,"Aug 23, 2021, 05:31 PM",buy
54,Better Choice Co Inc.,Sauermann Robert,"EVP, Strategy","Aug 20, 2021",$3.52,3000,10560,8000,"Aug 23, 2021, 05:29 PM",buy
55,Better Choice Co Inc.,Young Donald,"EVP, Sales","Aug 20, 2021",$3.55,14000,49700,49934,"Aug 23, 2021, 05:29 PM",buy
56,Better Choice Co Inc.,Lerner Scott,CEO,"Aug 20, 2021",$3.50,1445,5058,12746,"Aug 23, 2021, 05:26 PM",buy
57,AMERISAFE INC,GARCIA PHILIP A,Director,"Aug 19, 2021",$56.49,2772,156590,16415,"Aug 23, 2021, 05:26 PM",buy
58,Six Flags Entertainment Corp,Ruchim Arik W,Director,"Aug 19, 2021",$37.89,75000,2841833,7875000,"Aug 23, 2021, 05:26 PM",buy
59,Six Flags Entertainment Corp,Ruchim Arik W,Director,"Aug 20, 2021",$38.60,25000,964955,7900000,"Aug 23, 2021, 05:26 PM",buy
60,"Emmaus Life Sciences, Inc.",Niihara Yutaka,Chairman and CEO,"Aug 23, 2021",$1.45,2000,2900,10844664,"Aug 23, 2021, 05:23 PM",buy
61,"Emmaus Life Sciences, Inc.",Niihara Yutaka,Chairman and CEO,"Aug 20, 2021",$1.44,4600,6624,10842664,"Aug 23, 2021, 05:23 PM",buy
62,"Emmaus Life Sciences, Inc.",Niihara Yutaka,Chairman and CEO,"Aug 19, 2021",$1.47,2600,3822,10838064,"Aug 23, 2021, 05:23 PM",buy
63,"MINIM, INC.",Horowitz Joshua,Director,"Aug 23, 2021",$2.18,20000,43642,1266640,"Aug 23, 2021, 05:17 PM",buy
64,"Hill International, Inc.",EVANS PAUL J.,Director,"Aug 19, 2021",$2.32,10000,23200,383676,"Aug 23, 2021, 05:12 PM",buy
65,"Hill International, Inc.",EVANS PAUL J.,Director,"Aug 23, 2021",$2.29,10600,24274,404276,"Aug 23, 2021, 05:12 PM",buy
66,"Hill International, Inc.",EVANS PAUL J.,Director,"Aug 20, 2021",$2.24,10000,22400,393676,"Aug 23, 2021, 05:12 PM",buy
67,"Origin Materials, Inc.",RICHARDSON KAREN A,Director,"Aug 23, 2021",$6.06,20000,121286,20000,"Aug 23, 2021, 05:03 PM",buy
68,ALTA EQUIPMENT GROUP INC.,"B. Riley Financial, Inc.",10% Owner,"Aug 19, 2021",$12.24,854,10456,1351307,"Aug 23, 2021, 05:01 PM",buy
69,ALLIED MOTION TECHNOLOGIES INC,Engel Robert B,Director,"Aug 20, 2021",$31.72,1500,47580,23791,"Aug 23, 2021, 04:54 PM",buy
70,"Apple Hospitality REIT, Inc.",Clarke Jeanette,SVP Chief Cap. Invest. Officer,"Aug 19, 2021",$14.24,300,4272,78804,"Aug 23, 2021, 04:48 PM",buy
71,"Montrose Environmental Group, Inc.",PRICE JAMES K,Director,"Aug 19, 2021",$44.19,11406,504031,1072333,"Aug 23, 2021, 04:46 PM",buy
72,Finance of America Companies Inc.,Fleming Graham,President,"Aug 19, 2021",$5.20,20000,104000,20000,"Aug 23, 2021, 04:40 PM",buy
73,MultiPlan Corp,Klapstein Julie D,Director,"Aug 20, 2021",$6.00,12000,71957,30105,"Aug 23, 2021, 04:34 PM",buy
74,"Cardlytics, Inc.",BALEN JOHN V,Director,"Aug 20, 2021",$81.41,1000,81410,31097,"Aug 23, 2021, 04:32 PM",buy
75,"Cardlytics, Inc.",BALEN JOHN V,Director,"Aug 19, 2021",$78.61,1000,78607,30097,"Aug 23, 2021, 04:32 PM",buy
76,Northwest Natural Holding Co,Wasson Malia H,Director,"Aug 19, 2021",$51.99,2000,103985,6805,"Aug 23, 2021, 04:32 PM",buy
77,Target Hospitality Corp.,STUDDERT ANDREW P,Director,"Aug 20, 2021",$3.48,10000,34800,197632,"Aug 23, 2021, 04:31 PM",buy
78,"Calyxt, Inc.",Koschak William,Chief Financial Officer,"Aug 19, 2021",$3.21,20000,64112,38000,"Aug 23, 2021, 04:31 PM",buy
79,BENCHMARK ELECTRONICS INC,De Greef-Safft Anne,Director,"Aug 20, 2021",$25.74,3884,99974,3884,"Aug 23, 2021, 04:30 PM",buy
80,Stagwell Inc,Penn Mark Jeffery,Chief Executive Officer,"Aug 19, 2021",$6.66,15000,99900,14415714,"Aug 23, 2021, 04:30 PM",buy
81,Granite Point Mortgage Trust Inc.,TAYLOR JOHN A,President and CEO,"Aug 13, 2021",$13.41,7400,99238,245845,"Aug 23, 2021, 04:29 PM",buy
82,Granite Point Mortgage Trust Inc.,SANDERS WILLIAM REID,Director,"Aug 20, 2021",$13.20,8262,109050,87887,"Aug 23, 2021, 04:27 PM",buy
83,"Evolus, Inc.",Medytox Inc.,10% Owner,"Aug 19, 2021",$10.51,55000,578110,7112652,"Aug 23, 2021, 04:26 PM",buy
84,"Evolus, Inc.",Medytox Inc.,10% Owner,"Aug 20, 2021",$10.56,48000,506698,7160652,"Aug 23, 2021, 04:26 PM",buy
85,Granite Point Mortgage Trust Inc.,ALPART STEPHEN,Chief Investment Officer,"Aug 19, 2021",$12.97,3900,50583,129303,"Aug 23, 2021, 04:25 PM",buy
86,Park Hotels & Resorts Inc.,ECKERT THOMAS D,Director,"Aug 20, 2021",$17.73,10000,177300,83627,"Aug 23, 2021, 04:25 PM",buy
87,"STRYVE FOODS, INC.",Casey Ted,Director,"Aug 20, 2021",$5.96,10000,59640,126301,"Aug 23, 2021, 04:22 PM",buy
88,"Planet Fitness, Inc.",Fitzgerald Thomas J III,Chief Financial Officer,"Aug 19, 2021",$69.29,1000,69287,8194,"Aug 23, 2021, 04:21 PM",buy
89,"STRYVE FOODS, INC.",OBLAS JOE A,Co-Chief Executive Officer,"Aug 20, 2021",$5.83,3000,17490,6000,"Aug 23, 2021, 04:19 PM",buy
90,"STRYVE FOODS, INC.",OBLAS JOE A,Co-Chief Executive Officer,"Aug 19, 2021",$5.97,3000,17910,3000,"Aug 23, 2021, 04:19 PM",buy
91,PHX MINERALS INC.,"Edenbrook Capital, LLC",10% Owner,"Aug 23, 2021",$2.58,20000,51600,4789069,"Aug 23, 2021, 04:19 PM",buy
92,PHX MINERALS INC.,"Edenbrook Capital, LLC",10% Owner,"Aug 20, 2021",$2.52,39277,99088,4769069,"Aug 23, 2021, 04:19 PM",buy
93,PHX MINERALS INC.,"Edenbrook Capital, LLC",10% Owner,"Aug 19, 2021",$2.52,20723,52187,4729792,"Aug 23, 2021, 04:19 PM",buy
94,INTERNATIONAL PAPER CO /NEW/,Lewis Clinton A. Jr.,Director,"Jul 27, 2021",$58.42,9,526,128,"Aug 23, 2021, 04:17 PM",buy
95,INTERNATIONAL PAPER CO /NEW/,Lewis Clinton A. Jr.,Director,"Jul 30, 2020",$35.49,8,284,8,"Aug 23, 2021, 04:17 PM",buy
96,"Ault Global Holdings, Inc.",AULT MILTON C III,Executive Chairman,"Aug 20, 2021",$2.27,15000,33996,1658916,"Aug 23, 2021, 04:16 PM",buy
97,"MINIM, INC.",Zheng Nicole Elisabeth,President & CMO,"Aug 20, 2021",$2.18,5,11,215630,"Aug 23, 2021, 04:16 PM",buy
98,"MINIM, INC.",Zheng Nicole Elisabeth,President & CMO,"Aug 19, 2021",$2.28,439,1001,215625,"Aug 23, 2021, 04:16 PM",buy
99,ROLLINS INC,Bimmerman Julie Korioth,Interim CFO and Treasurer,"Aug 17, 2021",$37.85,13,492,38168,"Aug 23, 2021, 04:16 PM",buy
100,Holley Inc.,Nimmagadda Vinod,See Remarks,"Aug 19, 2021",$11.09,2584,28654,2584,"Aug 23, 2021, 04:15 PM",buy
1,"Thryv Holdings, Inc.","Mudrick Capital Management, L.P.",Director,"Aug 24, 2021",$31.01,165000,5116464,12306941,"Aug 25, 2021, 09:28 PM",sell
2,"Thryv Holdings, Inc.","Mudrick Capital Management, L.P.",Director,"Aug 23, 2021",$30.54,170000,5191800,12470111,"Aug 25, 2021, 09:28 PM",sell
3,"Arista Networks, Inc.",Ullal Jayshree,President and CEO,"Aug 23, 2021",$371.72,9,3345,557647,"Aug 25, 2021, 09:22 PM",sell
